run,outer_step,protect_only_grad_norm,total_grad_norm,backward_total_grad_norm,finite
A,0,3.010315418243408,3.159649133682251,3.159649133682251,1
A,1,17.258014678955078,17.59661865234375,17.59661865234375,1
A,2,0.0,0.8318368196487427,0.8318368196487427,1
B,0,3.010315418243408,3.159649133682251,3.159649133682251,1
B,1,17.258014678955078,17.59661865234375,17.59661865234375,1
B,2,0.0,0.8318368196487427,0.8318368196487427,1
C,0,3.002178430557251,3.1425137519836426,3.1425137519836426,1
C,1,17.32734489440918,17.662105560302734,17.662105560302734,1
D,0,3.001460552215576,3.1418278217315674,3.1418278217315674,1
D,1,17.371938705444336,17.705873489379883,17.705873489379883,1
E,0,2.9936885833740234,3.125204086303711,3.125204086303711,1
A_repeat,0,3.010315418243408,3.159649133682251,3.159649133682251,1
A_repeat,1,17.258014678955078,17.59661865234375,17.59661865234375,1
A_repeat,2,0.0,0.8318368196487427,0.8318368196487427,1
