lane,valid,input_match,initial_state_match,parameters_unchanged,first_bitwise_divergence,first_non_allclose,cicr_max_abs,cicr_max_rel,dlfc_max_abs,dlfc_max_rel,objective_max_abs,target_gradient_max_abs,projected_gradient_max_abs,combined_gradient_max_abs,candidate_drop_max_abs
shared,true,true,false,true,grad.components/cicr,grad.components/dlfc,8.270144462585449e-07,0.0022502013139971554,8.624047040939331e-06,0.6985275122707311,0.0009427070617675781,0.0007445812225341797,0.0006413459777832031,0.000640869140625,5.364418029785156e-07
reset,true,true,true,true,grad.components/cicr,grad.components/dlfc,2.738088369369507e-07,0.002950432730133753,2.1342188119888306e-05,0.31408462098535717,0.0009064674377441406,0.00110626220703125,0.0008320808410644531,0.0008358955383300781,3.7134159356355667e-06
fresh,true,true,true,true,grad.components/cicr,grad.components/dlfc,1.3932585716247559e-06,0.003063621013030015,1.9602477550506592e-05,2.4709600948241803,0.0005156993865966797,0.0007266998291015625,0.0006847381591796875,0.0006847381591796875,7.164431735873222e-06
