epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1955.05,0.95201,1.30811,1.36762,0.67889,0.55549,0.62611,0.42163,1.2436,1.90326,1.61299,0.00900844,0.00900844,0.00900844
43,2001.66,0.95352,1.29763,1.36681,0.6834,0.56414,0.62973,0.42237,1.24208,1.90217,1.60798,0.00896127,0.00896127,0.00896127
44,2047.8,0.94388,1.28648,1.36095,0.68171,0.55959,0.63,0.42237,1.23495,1.88622,1.59917,0.00891313,0.00891313,0.00891313
45,2092.68,0.94806,1.29347,1.36529,0.68553,0.56808,0.63652,0.42763,1.23608,1.87747,1.59945,0.00886404,0.00886404,0.00886404
46,2138.6,0.94211,1.2843,1.36057,0.68503,0.57592,0.63864,0.42964,1.23408,1.87543,1.59756,0.00881401,0.00881401,0.00881401
47,2184.62,0.93938,1.27284,1.35456,0.68718,0.57564,0.64147,0.43351,1.22593,1.8676,1.592,0.00876305,0.00876305,0.00876305
48,2230.59,0.93845,1.2645,1.35198,0.69872,0.57173,0.6451,0.43582,1.22533,1.84978,1.58772,0.00871117,0.00871117,0.00871117
49,2276.32,0.93632,1.26094,1.35058,0.72216,0.56477,0.65107,0.44009,1.2205,1.81166,1.58265,0.00865839,0.00865839,0.00865839
50,2321.94,0.93137,1.24987,1.34699,0.70774,0.57095,0.65207,0.44323,1.2161,1.8153,1.57882,0.00860473,0.00860473,0.00860473
51,2367.4,0.93105,1.24765,1.34643,0.71115,0.57324,0.65541,0.44584,1.21322,1.80107,1.57518,0.00855018,0.00855018,0.00855018
52,2411.97,0.92255,1.23941,1.3382,0.71021,0.57681,0.6557,0.44651,1.21049,1.81398,1.57379,0.00849477,0.00849477,0.00849477
53,2457.49,0.92408,1.23155,1.33725,0.69135,0.58619,0.65634,0.44762,1.20795,1.82226,1.57097,0.00843851,0.00843851,0.00843851
54,2502.62,0.92713,1.23038,1.33719,0.70205,0.58269,0.65788,0.44956,1.20752,1.81108,1.57018,0.00838141,0.00838141,0.00838141
55,2548.43,0.92013,1.23034,1.33487,0.7081,0.58385,0.65923,0.45171,1.20425,1.80819,1.56578,0.00832349,0.00832349,0.00832349
56,2592.56,0.91445,1.21596,1.33035,0.71305,0.57999,0.66082,0.45316,1.20253,1.82089,1.56392,0.00826477,0.00826477,0.00826477
57,2637.24,0.91624,1.21725,1.33144,0.68472,0.59938,0.66137,0.4539,1.19988,1.8184,1.56247,0.00820525,0.00820525,0.00820525
58,2682.94,0.9108,1.19472,1.325,0.69337,0.59182,0.66304,0.45518,1.19979,1.81169,1.56199,0.00814495,0.00814495,0.00814495
59,2729.16,0.90898,1.19375,1.32282,0.68428,0.60113,0.66508,0.45704,1.19719,1.81183,1.55866,0.00808389,0.00808389,0.00808389
60,2773.18,0.90396,1.19251,1.31712,0.68914,0.60115,0.6653,0.45871,1.19565,1.80201,1.55659,0.00802208,0.00802208,0.00802208
61,2819.79,0.90684,1.189,1.32104,0.69251,0.60183,0.66571,0.45885,1.19256,1.80288,1.55199,0.00795954,0.00795954,0.00795954
62,2866.14,0.8999,1.17945,1.31871,0.69573,0.59906,0.66829,0.45999,1.19143,1.79603,1.55059,0.00789628,0.00789628,0.00789628
63,2912.4,0.90165,1.18176,1.31439,0.70648,0.59634,0.66937,0.46082,1.19016,1.79596,1.54898,0.00783231,0.00783231,0.00783231
64,2956.24,0.90203,1.17914,1.31482,0.69778,0.60201,0.67099,0.46138,1.18978,1.79281,1.54781,0.00776766,0.00776766,0.00776766
65,3001.84,0.89917,1.17071,1.31342,0.70873,0.59613,0.67168,0.46226,1.18925,1.78904,1.54703,0.00770234,0.00770234,0.00770234
66,3047.87,0.89885,1.17239,1.31169,0.7034,0.60063,0.67271,0.46354,1.18899,1.78715,1.546,0.00763637,0.00763637,0.00763637
67,3092.01,0.89448,1.16097,1.30815,0.69316,0.60702,0.6733,0.46434,1.18843,1.7864,1.54491,0.00756976,0.00756976,0.00756976
68,3137.71,0.89642,1.15213,1.30603,0.69734,0.60723,0.67495,0.46546,1.18782,1.78176,1.54331,0.00750252,0.00750252,0.00750252
69,3182.82,0.88481,1.14142,1.2994,0.70222,0.60572,0.67568,0.4658,1.18752,1.77847,1.54245,0.00743468,0.00743468,0.00743468
70,3227.74,0.8894,1.14586,1.30119,0.70958,0.60177,0.6771,0.46627,1.18623,1.77621,1.54055,0.00736625,0.00736625,0.00736625
71,3273.63,0.88341,1.13654,1.29677,0.70728,0.60323,0.67778,0.46692,1.18594,1.77365,1.53964,0.00729725,0.00729725,0.00729725
72,3318.32,0.88654,1.14229,1.29726,0.71046,0.60212,0.6782,0.46726,1.18516,1.7729,1.53841,0.0072277,0.0072277,0.0072277
73,3361.81,0.88094,1.13374,1.29337,0.71364,0.60063,0.67874,0.46758,1.18442,1.77571,1.53733,0.00715761,0.00715761,0.00715761
74,3406.92,0.87619,1.12352,1.2908,0.71472,0.60169,0.67948,0.46812,1.18409,1.77782,1.53732,0.007087,0.007087,0.007087
75,3451.07,0.88003,1.12654,1.2929,0.71642,0.60154,0.67892,0.46844,1.18373,1.7807,1.53668,0.00701588,0.00701588,0.00701588
76,3496.18,0.87408,1.10789,1.28707,0.7121,0.60275,0.67939,0.46883,1.18303,1.77908,1.5357,0.00694428,0.00694428,0.00694428
77,3542.37,0.87129,1.11177,1.28901,0.71622,0.60041,0.67978,0.46944,1.18246,1.7812,1.53489,0.00687222,0.00687222,0.00687222
78,3588.29,0.8701,1.10371,1.28228,0.71579,0.60137,0.68028,0.46998,1.18185,1.78251,1.53421,0.0067997,0.0067997,0.0067997
79,3633.93,0.86561,1.10261,1.28437,0.71652,0.60022,0.68074,0.47032,1.18094,1.78162,1.53329,0.00672675,0.00672675,0.00672675
80,3680.37,0.86944,1.10265,1.28326,0.71192,0.60444,0.68085,0.47026,1.18069,1.78205,1.53275,0.00665339,0.00665339,0.00665339
81,3726.34,0.86312,1.09131,1.27721,0.71118,0.60495,0.68152,0.47086,1.18027,1.78192,1.5323,0.00657963,0.00657963,0.00657963
82,3772.82,0.86365,1.0973,1.28393,0.7265,0.59862,0.68221,0.47135,1.17964,1.78134,1.53169,0.0065055,0.0065055,0.0065055
83,3820.18,0.85768,1.08412,1.27526,0.72872,0.59719,0.68238,0.47167,1.17914,1.78212,1.53104,0.00643101,0.00643101,0.00643101
84,3865.28,0.85739,1.08103,1.27251,0.73087,0.59576,0.68304,0.47251,1.1785,1.78157,1.53026,0.00635617,0.00635617,0.00635617
85,3910.33,0.85428,1.07196,1.27016,0.72689,0.59822,0.68373,0.47289,1.17809,1.78163,1.52972,0.00628101,0.00628101,0.00628101
86,3956.45,0.8531,1.07152,1.26955,0.72601,0.59952,0.68401,0.47321,1.17776,1.78276,1.5293,0.00620555,0.00620555,0.00620555
87,4003.37,0.8543,1.07648,1.26988,0.72426,0.6008,0.68444,0.47386,1.17737,1.78339,1.52884,0.00612981,0.00612981,0.00612981
88,4049.74,0.8532,1.06768,1.27035,0.72292,0.60177,0.68475,0.47419,1.17707,1.7842,1.52832,0.0060538,0.0060538,0.0060538
