epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1963.23,0.88407,1.1788,1.31408,0.62632,0.5448,0.60176,0.40053,1.31236,2.67208,1.67179,0.00900844,0.00900844,0.00900844
43,2008.16,0.88563,1.17108,1.31459,0.65495,0.53669,0.60661,0.40469,1.30246,2.66715,1.65919,0.00896127,0.00896127,0.00896127
44,2053.46,0.87543,1.16018,1.30629,0.64237,0.54933,0.60959,0.40692,1.30469,2.63674,1.65912,0.00891313,0.00891313,0.00891313
45,2097.35,0.88059,1.16848,1.31031,0.64262,0.55367,0.61239,0.40819,1.30174,2.62482,1.65641,0.00886404,0.00886404,0.00886404
46,2141.95,0.87594,1.15943,1.30946,0.65848,0.54314,0.61423,0.41091,1.29802,2.64324,1.6548,0.00881401,0.00881401,0.00881401
47,2187.26,0.86928,1.14332,1.3015,0.64925,0.55165,0.61722,0.41446,1.29637,2.61079,1.6552,0.00876305,0.00876305,0.00876305
48,2232.14,0.8712,1.14022,1.29897,0.65391,0.55559,0.62055,0.4166,1.29458,2.62438,1.65126,0.00871117,0.00871117,0.00871117
49,2276.94,0.87088,1.13863,1.30136,0.66365,0.55174,0.62381,0.41816,1.28917,2.61019,1.64546,0.00865839,0.00865839,0.00865839
50,2321.86,0.86483,1.12399,1.29489,0.65133,0.56351,0.6243,0.41939,1.28634,2.62625,1.64071,0.00860473,0.00860473,0.00860473
51,2368.44,0.86097,1.11909,1.29117,0.65943,0.55716,0.62594,0.42161,1.28262,2.62008,1.63433,0.00855018,0.00855018,0.00855018
52,2412.76,0.85667,1.11629,1.28991,0.66283,0.55574,0.62934,0.42403,1.27651,2.60611,1.63048,0.00849477,0.00849477,0.00849477
53,2456.49,0.85741,1.11237,1.28694,0.66036,0.56025,0.6309,0.42606,1.2708,2.59516,1.62308,0.00843851,0.00843851,0.00843851
54,2501.11,0.85992,1.11154,1.28823,0.65668,0.56608,0.63189,0.42645,1.26799,2.59577,1.62145,0.00838141,0.00838141,0.00838141
55,2545.79,0.85413,1.10682,1.28433,0.67406,0.55926,0.63474,0.42919,1.2652,2.59154,1.61918,0.00832349,0.00832349,0.00832349
56,2590.57,0.84936,1.09722,1.28086,0.67946,0.56038,0.63618,0.43052,1.26398,2.58621,1.61659,0.00826477,0.00826477,0.00826477
57,2635.59,0.85098,1.09956,1.28213,0.67778,0.56606,0.63572,0.43023,1.26349,2.58857,1.61772,0.00820525,0.00820525,0.00820525
58,2678.46,0.84451,1.0819,1.2762,0.66994,0.57487,0.63838,0.43226,1.26439,2.57372,1.61763,0.00814495,0.00814495,0.00814495
59,2721.48,0.84319,1.07567,1.27231,0.6728,0.57503,0.64008,0.43463,1.26294,2.57037,1.61609,0.00808389,0.00808389,0.00808389
60,2766.06,0.84206,1.07819,1.27286,0.67833,0.57222,0.64097,0.43557,1.26103,2.55761,1.6146,0.00802208,0.00802208,0.00802208
61,2812.24,0.84063,1.07149,1.27296,0.6761,0.57598,0.64282,0.43598,1.25898,2.55523,1.61219,0.00795954,0.00795954,0.00795954
62,2857.13,0.83524,1.05876,1.2684,0.67921,0.57925,0.64406,0.43816,1.25733,2.55154,1.60951,0.00789628,0.00789628,0.00789628
63,2901.57,0.83822,1.06262,1.26798,0.68388,0.57262,0.64437,0.4387,1.25562,2.55223,1.60697,0.00783231,0.00783231,0.00783231
64,2946.37,0.83474,1.05989,1.26617,0.67402,0.57514,0.64505,0.4392,1.25533,2.55207,1.60622,0.00776766,0.00776766,0.00776766
65,2990.41,0.83437,1.05525,1.26549,0.67821,0.574,0.64633,0.44037,1.25437,2.55395,1.60469,0.00770234,0.00770234,0.00770234
66,3034.41,0.83449,1.06053,1.26435,0.68317,0.56979,0.64631,0.44088,1.25412,2.55311,1.60426,0.00763637,0.00763637,0.00763637
67,3078.21,0.8297,1.04491,1.26171,0.66777,0.58102,0.64837,0.4426,1.25302,2.55135,1.60337,0.00756976,0.00756976,0.00756976
68,3123.08,0.83079,1.03875,1.26003,0.6746,0.57877,0.649,0.44347,1.25249,2.54992,1.60287,0.00750252,0.00750252,0.00750252
69,3167.72,0.82046,1.02765,1.25507,0.68096,0.57354,0.64995,0.44441,1.25207,2.54707,1.60175,0.00743468,0.00743468,0.00743468
70,3212.26,0.82519,1.03077,1.25545,0.68632,0.57151,0.65073,0.44533,1.25159,2.54387,1.60116,0.00736625,0.00736625,0.00736625
71,3258.25,0.81944,1.02352,1.25266,0.68353,0.5751,0.65202,0.44638,1.25036,2.53874,1.59996,0.00729725,0.00729725,0.00729725
72,3302.95,0.82234,1.03069,1.25176,0.68024,0.57809,0.65309,0.44712,1.24884,2.53246,1.59837,0.0072277,0.0072277,0.0072277
73,3347.49,0.82136,1.02406,1.2487,0.68037,0.57857,0.65381,0.44792,1.24793,2.52931,1.59716,0.00715761,0.00715761,0.00715761
74,3392.36,0.81786,1.01663,1.24766,0.67694,0.58285,0.65424,0.44846,1.24763,2.52829,1.59712,0.007087,0.007087,0.007087
75,3437.18,0.81792,1.01893,1.24932,0.67768,0.58434,0.65481,0.44892,1.24712,2.52997,1.5967,0.00701588,0.00701588,0.00701588
76,3482.04,0.81348,1.00292,1.24344,0.67435,0.58737,0.65491,0.44942,1.24632,2.52915,1.59593,0.00694428,0.00694428,0.00694428
77,3526.81,0.80959,1.00456,1.24255,0.67916,0.58278,0.65573,0.45041,1.24605,2.52834,1.59562,0.00687222,0.00687222,0.00687222
78,3571.44,0.80924,0.99484,1.23816,0.67786,0.58284,0.65584,0.45086,1.24527,2.52813,1.59505,0.0067997,0.0067997,0.0067997
79,3615.35,0.80886,0.99682,1.24071,0.67961,0.58554,0.6561,0.45152,1.24492,2.52772,1.59449,0.00672675,0.00672675,0.00672675
80,3660.21,0.80829,0.99484,1.24036,0.68411,0.58303,0.65692,0.4525,1.2446,2.52677,1.59416,0.00665339,0.00665339,0.00665339
81,3707.63,0.80486,0.98627,1.23431,0.68285,0.58379,0.65673,0.45271,1.24411,2.52636,1.59367,0.00657963,0.00657963,0.00657963
