epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2009.92,0.99136,1.29312,1.38887,0.66582,0.57095,0.62513,0.41746,1.26954,1.93819,1.62169,0.00900844,0.00900844,0.00900844
43,2054.22,0.98878,1.28515,1.38513,0.66113,0.57514,0.62685,0.41935,1.2639,1.90125,1.6157,0.00896127,0.00896127,0.00896127
44,2099.11,0.98361,1.2722,1.38147,0.67467,0.56957,0.63044,0.42236,1.26408,1.88627,1.61665,0.00891313,0.00891313,0.00891313
45,2144.26,0.98556,1.27556,1.38406,0.666,0.58243,0.63378,0.42646,1.26172,1.88799,1.61124,0.00886404,0.00886404,0.00886404
46,2189.26,0.98078,1.26498,1.37758,0.66364,0.57983,0.63461,0.42673,1.25678,1.92193,1.60239,0.00881401,0.00881401,0.00881401
47,2234.38,0.97703,1.24782,1.37349,0.66849,0.58686,0.64046,0.43138,1.25374,1.91909,1.60104,0.00876305,0.00876305,0.00876305
48,2279.29,0.9747,1.25054,1.36764,0.67742,0.57648,0.64213,0.43424,1.24798,1.90552,1.59717,0.00871117,0.00871117,0.00871117
49,2324.22,0.9748,1.24403,1.36965,0.67405,0.58523,0.64486,0.43769,1.24066,1.89672,1.59204,0.00865839,0.00865839,0.00865839
50,2369.45,0.96515,1.23163,1.36159,0.68431,0.57761,0.64451,0.43687,1.24152,1.89126,1.59361,0.00860473,0.00860473,0.00860473
51,2416.66,0.96763,1.2279,1.36448,0.68008,0.58224,0.64627,0.43951,1.23833,1.89722,1.59072,0.00855018,0.00855018,0.00855018
52,2461.82,0.95675,1.22191,1.35386,0.68719,0.5827,0.64839,0.44184,1.23617,1.89098,1.58764,0.00849477,0.00849477,0.00849477
53,2506.51,0.96105,1.21831,1.35562,0.67817,0.58919,0.64919,0.44271,1.23561,1.88229,1.58635,0.00843851,0.00843851,0.00843851
54,2550.94,0.96182,1.21191,1.3526,0.67655,0.59439,0.6498,0.44317,1.23262,1.88011,1.58312,0.00838141,0.00838141,0.00838141
55,2595.38,0.957,1.21259,1.35149,0.67898,0.59558,0.65122,0.44315,1.2312,1.87786,1.58145,0.00832349,0.00832349,0.00832349
56,2640.29,0.94982,1.19903,1.34684,0.67115,0.60435,0.65406,0.44591,1.22968,1.86574,1.57804,0.00826477,0.00826477,0.00826477
57,2684.48,0.94972,1.1994,1.34849,0.67325,0.60627,0.65454,0.44615,1.22983,1.87835,1.57874,0.00820525,0.00820525,0.00820525
58,2729.26,0.94597,1.17746,1.34151,0.68094,0.6039,0.65642,0.44722,1.22881,1.86949,1.57876,0.00814495,0.00814495,0.00814495
59,2773.53,0.94473,1.17547,1.33873,0.69171,0.59971,0.65999,0.45007,1.2246,1.86656,1.57498,0.00808389,0.00808389,0.00808389
60,2818.75,0.93972,1.17033,1.33201,0.69393,0.59772,0.66148,0.45163,1.2232,1.86433,1.57438,0.00802208,0.00802208,0.00802208
61,2863.11,0.93912,1.16875,1.33344,0.6964,0.59598,0.66349,0.45273,1.22038,1.85495,1.56991,0.00795954,0.00795954,0.00795954
62,2906.49,0.93297,1.16285,1.33374,0.69247,0.60148,0.66557,0.45462,1.21844,1.85053,1.56836,0.00789628,0.00789628,0.00789628
63,2951.56,0.93591,1.15924,1.32892,0.70448,0.59821,0.66644,0.45584,1.21732,1.84798,1.56613,0.00783231,0.00783231,0.00783231
64,2996.37,0.93772,1.15881,1.33086,0.69635,0.60542,0.66819,0.45723,1.21727,1.84302,1.56498,0.00776766,0.00776766,0.00776766
65,3041.25,0.93417,1.15259,1.3272,0.70564,0.59707,0.66812,0.45778,1.21521,1.84846,1.56339,0.00770234,0.00770234,0.00770234
66,3085.5,0.93414,1.15748,1.32703,0.70514,0.59967,0.66814,0.45873,1.21283,1.84648,1.56073,0.00763637,0.00763637,0.00763637
67,3129.38,0.92781,1.14353,1.32341,0.69334,0.61027,0.66924,0.45968,1.21202,1.84339,1.55924,0.00756976,0.00756976,0.00756976
68,3174.49,0.92809,1.13413,1.32159,0.69947,0.60851,0.67006,0.46039,1.211,1.83993,1.55751,0.00750252,0.00750252,0.00750252
69,3219.63,0.91798,1.12193,1.31601,0.70249,0.60766,0.67045,0.46106,1.2096,1.83724,1.55589,0.00743468,0.00743468,0.00743468
70,3263.68,0.92331,1.12556,1.31513,0.70399,0.60877,0.67199,0.4626,1.20819,1.82966,1.5538,0.00736625,0.00736625,0.00736625
71,3307.47,0.91884,1.11742,1.31184,0.7077,0.60769,0.67244,0.46249,1.20744,1.82776,1.55245,0.00729725,0.00729725,0.00729725
72,3352.06,0.92309,1.1275,1.3133,0.70671,0.6081,0.67249,0.46314,1.20711,1.82684,1.55179,0.0072277,0.0072277,0.0072277
73,3397.01,0.91772,1.11445,1.30889,0.70558,0.61116,0.67332,0.46387,1.20654,1.82337,1.55128,0.00715761,0.00715761,0.00715761
74,3440.76,0.91017,1.10526,1.30472,0.71281,0.6091,0.67447,0.46467,1.2061,1.82305,1.55079,0.007087,0.007087,0.007087
75,3485.61,0.9139,1.11216,1.30592,0.71301,0.61073,0.67505,0.46559,1.20543,1.82631,1.54983,0.00701588,0.00701588,0.00701588
76,3528.72,0.91155,1.09578,1.30439,0.71229,0.6117,0.67578,0.46604,1.20511,1.82639,1.54929,0.00694428,0.00694428,0.00694428
77,3573.58,0.90718,1.09225,1.30281,0.71425,0.60991,0.67567,0.46613,1.20429,1.82867,1.54825,0.00687222,0.00687222,0.00687222
78,3618.16,0.90452,1.08329,1.29533,0.71023,0.61401,0.67615,0.46624,1.20353,1.83127,1.54736,0.0067997,0.0067997,0.0067997
79,3662.93,0.90138,1.0859,1.2971,0.71143,0.61411,0.67654,0.46652,1.20309,1.83023,1.54661,0.00672675,0.00672675,0.00672675
80,3706.23,0.9022,1.08107,1.29591,0.71467,0.61318,0.67703,0.46653,1.20298,1.83164,1.54623,0.00665339,0.00665339,0.00665339
81,3751.32,0.89845,1.0734,1.29018,0.71825,0.60852,0.67719,0.46736,1.2024,1.83359,1.54533,0.00657963,0.00657963,0.00657963
82,3796.41,0.89933,1.07855,1.29443,0.71705,0.60786,0.67777,0.46753,1.20183,1.834,1.54446,0.0065055,0.0065055,0.0065055
83,3841.28,0.895,1.0688,1.29068,0.71632,0.6096,0.67776,0.46768,1.20119,1.83561,1.54349,0.00643101,0.00643101,0.00643101
84,3886.2,0.89334,1.06488,1.28648,0.71812,0.60901,0.67861,0.46847,1.20081,1.83683,1.54265,0.00635617,0.00635617,0.00635617
85,3931.27,0.88877,1.05697,1.28312,0.71882,0.60911,0.67876,0.46889,1.20025,1.83714,1.54168,0.00628101,0.00628101,0.00628101
86,3976.39,0.88579,1.05834,1.28364,0.71965,0.60855,0.67904,0.46946,1.19993,1.83786,1.54118,0.00620555,0.00620555,0.00620555
87,4021.56,0.88755,1.05804,1.28404,0.72041,0.60809,0.67942,0.46982,1.19961,1.83889,1.5406,0.00612981,0.00612981,0.00612981
88,4066.75,0.8853,1.0468,1.28009,0.72134,0.60824,0.67981,0.47017,1.19909,1.83904,1.5398,0.0060538,0.0060538,0.0060538
89,4110.89,0.88142,1.03982,1.27564,0.7226,0.60703,0.6802,0.47074,1.19861,1.83847,1.53913,0.00597754,0.00597754,0.00597754
90,4155.91,0.88413,1.0372,1.28013,0.72213,0.60899,0.68065,0.47123,1.19798,1.8387,1.53832,0.00590105,0.00590105,0.00590105
91,4202.71,0.88171,1.03378,1.2781,0.72024,0.61075,0.68097,0.47179,1.19748,1.83751,1.53761,0.00582435,0.00582435,0.00582435
92,4247.8,0.8782,1.03376,1.27437,0.72217,0.60895,0.68108,0.47185,1.19706,1.84023,1.53707,0.00574746,0.00574746,0.00574746
93,4291.31,0.88096,1.02912,1.27095,0.71908,0.61162,0.68123,0.47202,1.19685,1.84256,1.53641,0.0056704,0.0056704,0.0056704
94,4336.13,0.87669,1.03377,1.26791,0.72045,0.61115,0.68164,0.4727,1.19655,1.8445,1.53594,0.00559318,0.00559318,0.00559318
95,4380.82,0.87135,1.02367,1.26905,0.71718,0.61355,0.6817,0.47299,1.19605,1.84591,1.53508,0.00551584,0.00551584,0.00551584
96,4425.82,0.87113,1.01363,1.26417,0.7203,0.61166,0.68201,0.4736,1.19567,1.84553,1.5343,0.00543837,0.00543837,0.00543837
97,4469.86,0.86791,1.00811,1.26252,0.7153,0.6146,0.68223,0.47361,1.19518,1.84767,1.53364,0.00536081,0.00536081,0.00536081
98,4514.92,0.86434,1.00794,1.25993,0.72322,0.60864,0.68244,0.47431,1.19487,1.8487,1.53287,0.00528318,0.00528318,0.00528318
99,4557.6,0.8698,1.00774,1.2627,0.7253,0.60845,0.68276,0.47444,1.19453,1.84979,1.53212,0.00520548,0.00520548,0.00520548
100,4600.82,0.86074,0.99892,1.25426,0.72545,0.60861,0.6831,0.47465,1.1947,1.85201,1.5318,0.00512775,0.00512775,0.00512775
101,4659.95,0.83375,0.88701,1.23877,0.72689,0.60894,0.68396,0.47519,1.19401,1.84945,1.53071,0.00505,0.00505,0.00505
102,4705.18,0.82999,0.87505,1.23708,0.72723,0.60872,0.68423,0.4757,1.19333,1.84992,1.52992,0.00497225,0.00497225,0.00497225
103,4750.4,0.817,0.85914,1.22703,0.73051,0.60693,0.6851,0.47641,1.19267,1.84759,1.52909,0.00489452,0.00489452,0.00489452
104,4795.31,0.81866,0.8578,1.22656,0.73242,0.60721,0.68563,0.4767,1.19209,1.84663,1.52851,0.00481682,0.00481682,0.00481682
105,4839.13,0.81439,0.84395,1.22728,0.73368,0.60623,0.68592,0.47701,1.19133,1.84681,1.52759,0.00473919,0.00473919,0.00473919
106,4883,0.81178,0.84186,1.22353,0.73496,0.60586,0.68615,0.47714,1.19081,1.848,1.52703,0.00466163,0.00466163,0.00466163
107,4928.22,0.8087,0.83439,1.2185,0.7358,0.60581,0.6867,0.47776,1.19036,1.84791,1.52668,0.00458416,0.00458416,0.00458416
108,4972.05,0.80384,0.8248,1.21705,0.73776,0.60583,0.68704,0.47819,1.18928,1.84824,1.52545,0.00450682,0.00450682,0.00450682
109,5016,0.7944,0.81314,1.20886,0.73761,0.60726,0.68739,0.47898,1.18895,1.84668,1.52505,0.0044296,0.0044296,0.0044296
110,5061.09,0.79746,0.81322,1.20954,0.73976,0.60671,0.6879,0.47957,1.18826,1.84629,1.52428,0.00435254,0.00435254,0.00435254
111,5107.87,0.79389,0.80477,1.20593,0.73852,0.60892,0.68874,0.48014,1.18781,1.8457,1.52366,0.00427565,0.00427565,0.00427565
112,5153.04,0.78889,0.80139,1.20384,0.73937,0.60944,0.68924,0.48054,1.18737,1.84642,1.52307,0.00419895,0.00419895,0.00419895
113,5197.95,0.7853,0.78972,1.19807,0.73901,0.60937,0.68985,0.481,1.18697,1.84808,1.52242,0.00412246,0.00412246,0.00412246
114,5242.84,0.78145,0.78325,1.19538,0.73925,0.60907,0.68963,0.48172,1.18656,1.84844,1.52159,0.0040462,0.0040462,0.0040462
115,5287.37,0.78312,0.78047,1.19847,0.73847,0.6097,0.68995,0.48203,1.18611,1.84709,1.52096,0.00397019,0.00397019,0.00397019
116,5332.53,0.78027,0.77967,1.19294,0.74114,0.60815,0.69024,0.48232,1.18574,1.84782,1.52041,0.00389445,0.00389445,0.00389445
117,5376.09,0.77513,0.76503,1.18876,0.73721,0.61292,0.69085,0.48304,1.18532,1.8492,1.51969,0.00381899,0.00381899,0.00381899
118,5420.32,0.76736,0.75914,1.18638,0.73537,0.61396,0.69121,0.48333,1.18496,1.84978,1.51894,0.00374383,0.00374383,0.00374383
119,5464.19,0.76722,0.75604,1.18529,0.73242,0.61599,0.69163,0.48394,1.18459,1.85032,1.51849,0.00366899,0.00366899,0.00366899
120,5508.96,0.76691,0.75197,1.17993,0.72918,0.61984,0.6919,0.48432,1.18423,1.85078,1.51789,0.0035945,0.0035945,0.0035945
121,5555.96,0.76509,0.74675,1.18054,0.72891,0.62018,0.69229,0.4848,1.18409,1.85348,1.51767,0.00352037,0.00352037,0.00352037
122,5600.55,0.7622,0.74171,1.17979,0.7319,0.61923,0.69227,0.48533,1.18359,1.85563,1.51725,0.00344661,0.00344661,0.00344661
123,5645.7,0.75672,0.73984,1.17608,0.73043,0.62022,0.69256,0.48569,1.18324,1.85774,1.51688,0.00337325,0.00337325,0.00337325
124,5690.54,0.75464,0.72954,1.17173,0.73142,0.62034,0.693,0.48621,1.18288,1.85845,1.51645,0.0033003,0.0033003,0.0033003
125,5735.63,0.7515,0.72521,1.16846,0.73118,0.62087,0.69305,0.48664,1.18269,1.86059,1.51609,0.00322778,0.00322778,0.00322778
126,5779.77,0.74595,0.71569,1.16109,0.7321,0.61901,0.69328,0.48711,1.18235,1.86265,1.51563,0.00315572,0.00315572,0.00315572
127,5824.36,0.74644,0.71476,1.16358,0.73174,0.61826,0.69335,0.48721,1.18193,1.86524,1.51511,0.00308412,0.00308412,0.00308412
128,5869.11,0.74114,0.70798,1.16145,0.72942,0.61931,0.69363,0.48739,1.18212,1.8679,1.51517,0.003013,0.003013,0.003013
