epoch,align_clean_topk,align_adv_topk,target_prob_clean_mean,target_prob_adv_mean,overlap_clean_mean,overlap_adv_mean,shape_loss,preserve_loss,cls_aux_loss,gate_positive_ratio,perturbed_area_ratio_mean,L_induce,L_tv,L_budget,L_total,mean_abs_delta,max_abs_delta,saturation_ratio,grad_norm_fourier,grad_norm_suppress
1,0.034215548168380225,0.034216065856954817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,5.176885745912323e-07,0.0,0.0,0.0,0.00027952819739752424,0.02234286442399025,0.0,0.041450344026088715,0.01038132794201374
2,0.03358046722193663,0.033004053512402855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0005764137095337763,0.0,0.029700120940258364,0.0,0.0013731421272853068,0.0627450942993164,0.0004961706016768096,0.031910259276628494,0.00579926697537303
3,0.0337486478612217,0.030735163910421713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0030134839507999843,0.0,0.23933603907130777,0.0,0.004996917088618453,0.0627450942993164,0.019147355716519487,0.047017987817525864,0.01082594133913517
4,0.03397600459549283,0.030396823288570525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0035791813069223108,0.0,0.3161404817828333,0.0,0.005962681205679921,0.0627450942993164,0.03791262319613814,0.0035809471737593412,0.012697574682533741
5,0.03365853995435837,0.0297448694686459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.00391367048571247,0.0,0.34000961693169557,0.0,0.006311342339592142,0.0627450942993164,0.04402518005193216,0.10450165718793869,0.038483235985040665
6,0.034034189080614695,0.02998456066835145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004049628412263244,0.0,0.340569126980467,0.0,0.006475314580840278,0.0627450942993164,0.04468930011410364,0.04431263357400894,0.029711920768022537
7,0.03407797252476527,0.02982080744394145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004257165080823824,0.0,0.3208119204531165,0.0,0.0065730187642090605,0.0627450942993164,0.04153560534002581,0.010642261244356632,0.015039348974823952
8,0.03477895020931491,0.030005994247984513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004772955961330399,0.0,0.2681012024118014,0.0,0.006673080346873761,0.0627450942993164,0.033334635441918024,0.048529818654060364,0.017858318984508514
9,0.03411946240910061,0.02972905674744495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004390405661655658,0.0,0.22697538106229292,0.0,0.0067355195718637,0.0627450942993164,0.029045673828396498,0.007917177863419056,0.007002550642937422
10,0.034274394116827644,0.02994562615274759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004328767964080054,0.0,0.21399416255701276,0.0,0.006788888960803679,0.0627450942993164,0.02914446715207,0.01767847128212452,0.019120657816529274
11,0.033774616752619516,0.029333550458608186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004441066294011333,0.0,0.2128379181105429,0.0,0.006810078279149392,0.0627450942993164,0.02980384801109736,0.015912115573883057,0.017962448298931122
12,0.03387998126895796,0.02930571671321754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004574264555740419,0.0,0.21399668670449581,0.0,0.006825595040908034,0.0627450942993164,0.030412519019077586,0.007554137613624334,0.006280870176851749
