class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.0,0.034366371225168814
1,bicycle,False,0.0400271241170745,0.0,0.0400271241170745
2,bird,False,0.0046752838974063226,0.0,0.0046752838974063226
3,boat,False,0.005048527443105757,0.0,0.005048527443105757
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.0,0.030274052894009362
6,car,False,0.23815082024959727,0.0,0.23815082024959727
7,cat,False,0.07006388514235279,0.0,0.07006388514235279
8,chair,False,0.04874099737135612,0.0,0.04874099737135612
9,cow,False,0.02680446046406848,0.0,0.02680446046406848
10,diningtable,False,0.08134848616414464,0.0,0.08134848616414464
11,dog,False,0.11090324010389853,0.0,0.11090324010389853
12,horse,False,0.23029302640643226,0.0,0.23029302640643226
13,motorbike,False,0.4002764367685835,0.0,0.4002764367685835
14,person,True,0.3081944610953854,0.0,0.3081944610953854
15,pottedplant,False,0.00043378995433789947,0.0,0.00043378995433789947
16,sheep,False,0.0006476683937823834,0.0,0.0006476683937823834
17,sofa,False,0.12987036261408558,0.0,0.12987036261408558
18,train,False,0.08634851479155911,0.0,0.08634851479155911
19,tvmonitor,False,0.01698724625384612,0.0,0.01698724625384612
