class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.0006785714285714286,0.03368779979659738
1,bicycle,False,0.0400271241170745,0.0020093276331130975,0.038017796483961405
2,bird,False,0.0046752838974063226,0.0017441860465116279,0.0029310978508946947
3,boat,False,0.005048527443105757,0.0027941176470588237,0.002254409796046933
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.00842528735632184,0.021848765537687522
6,car,False,0.23815082024959727,0.03230136599127982,0.20584945425831747
7,cat,False,0.07006388514235279,0.032045454545454544,0.038018430596898245
8,chair,False,0.04874099737135612,0.00038851351351351356,0.048352483857842604
9,cow,False,0.02680446046406848,0.0,0.02680446046406848
10,diningtable,False,0.08134848616414464,0.026290091370305274,0.055058394793839366
11,dog,False,0.11090324010389853,0.05389556962758885,0.057007670476309676
12,horse,False,0.23029302640643226,0.01515310925118731,0.21513991715524494
13,motorbike,False,0.4002764367685835,0.1444058470403341,0.2558705897282494
14,person,True,0.3081944610953854,0.07523524583297293,0.23295921526241248
15,pottedplant,False,0.00043378995433789947,0.0,0.00043378995433789947
16,sheep,False,0.0006476683937823834,0.001201923076923077,-0.0005542546831406935
17,sofa,False,0.12987036261408558,0.036709737284089314,0.09316062532999626
18,train,False,0.08634851479155911,0.0019004114058731735,0.08444810338568594
19,tvmonitor,False,0.01698724625384612,0.0,0.01698724625384612
