class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.047342272760365414,-0.0129759015351966
1,bicycle,False,0.0400271241170745,0.033494219164105964,0.0065329049529685365
2,bird,False,0.0046752838974063226,0.006673312228421892,-0.0019980283310155698
3,boat,False,0.005048527443105757,0.0039707992050934645,0.0010777282380122922
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.0032111675763202103,0.02706288531768915
6,car,False,0.23815082024959727,0.21257449137636084,0.025576328873236437
7,cat,False,0.07006388514235279,0.08034237810168315,-0.010278492959330365
8,chair,False,0.04874099737135612,0.033900751167015165,0.014840246204340955
9,cow,False,0.02680446046406848,0.07680892956920467,-0.05000446910513619
10,diningtable,False,0.08134848616414464,0.18801966228790434,-0.1066711761237597
11,dog,False,0.11090324010389853,0.11152318327705871,-0.0006199431731601784
12,horse,False,0.23029302640643226,0.2030208702001383,0.027272156206293974
13,motorbike,False,0.4002764367685835,0.29252897093759306,0.10774746583099043
14,person,True,0.3081944610953854,0.2864359381146858,0.02175852298069958
15,pottedplant,False,0.00043378995433789947,0.0015848658712836225,-0.001151075916945723
16,sheep,False,0.0006476683937823834,0.0015557000075901765,-0.000908031613807793
17,sofa,False,0.12987036261408558,0.09225193078952834,0.037618431824557236
18,train,False,0.08634851479155911,0.036641549195144126,0.049706965596414986
19,tvmonitor,False,0.01698724625384612,0.03091162084060336,-0.01392437458675724
