stage,seed,clean_target_map50,target_map50,target_absolute_drop,target_relative_drop,non_target_map50,non_target_absolute_drop,worst_non_target_class,worst_non_target_drop,person_free_non_target_map50,person_cooccur_non_target_map50,poison_train_target_map50,clean_val_target_map50,perturbation_linf,perturbation_mean_abs,perturbed_area_ratio,status
clean,0,0.3081944610953854,0.3081944610953854,0.0,0.0,0.08219791022393734,0.0,pottedplant,0.0,0.08225369605518211,0.13629428003877872,,0.3081944610953854,0.0,0.0,0.0,PASS
stage1,0,0.3081944610953854,0.19115846592005725,0.11703599517532814,0.3797472373752551,0.07188494061758001,0.01031296960635733,horse,0.09863721474966833,0.07374861504486212,0.09787336266986467,0.5853447827596446,0.19115846592005725,0.0313725508749485,0.0031177703681356662,0.13150804513859649,PASS
stage1,1,0.3081944610953854,0.21392780534849615,0.09426665574688925,0.30586745592976106,0.07844631703696031,0.003751593186977028,train,0.06858029202333635,0.09960884834516881,0.10726290314476776,0.5806608467466589,0.21392780534849615,0.0313725508749485,0.0029268910203279572,0.1315168210980334,PASS
