class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.03360356038834424,0.0007628108368245706
1,bicycle,False,0.0400271241170745,0.04372318839169824,-0.0036960642746237393
2,bird,False,0.0046752838974063226,0.007435078524725282,-0.0027597946273189592
3,boat,False,0.005048527443105757,0.0032461279725925973,0.0018023994705131594
4,bottle,False,0.006500000000000001,0.06692860761529491,-0.060428607615294914
5,bus,False,0.030274052894009362,0.009927539390048163,0.0203465135039612
6,car,False,0.23815082024959727,0.25903969926467324,-0.020888879015075967
7,cat,False,0.07006388514235279,0.07353925078700718,-0.0034753656446543935
8,chair,False,0.04874099737135612,0.039744054430978254,0.008996942940377867
9,cow,False,0.02680446046406848,0.15508326088018368,-0.1282788004161152
10,diningtable,False,0.08134848616414464,0.08905466069128719,-0.007706174527142548
11,dog,False,0.11090324010389853,0.1981891799350915,-0.08728593983119297
12,horse,False,0.23029302640643226,0.21154284805109327,0.018750178355338987
13,motorbike,False,0.4002764367685835,0.40186484828973573,-0.0015884115211522443
14,person,True,0.3081944610953854,0.3001034785688794,0.008090982526505974
15,pottedplant,False,0.00043378995433789947,0.004504255169284966,-0.004070465214947066
16,sheep,False,0.0006476683937823834,0.000935530513012456,-0.0002878621192300726
17,sofa,False,0.12987036261408558,0.13769389143491104,-0.00782352882082546
18,train,False,0.08634851479155911,0.03732591082671302,0.04902260396484609
19,tvmonitor,False,0.01698724625384612,0.014267992228211486,0.0027192540256346324
