class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.00011757425742574258,0.03424879696774307
1,bicycle,False,0.0400271241170745,0.0011553002223869532,0.038871823894687546
2,bird,False,0.0046752838974063226,0.000828798411122145,0.0038464854862841776
3,boat,False,0.005048527443105757,0.0,0.005048527443105757
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.006244626696832579,0.02402942619717678
6,car,False,0.23815082024959727,0.03565027505563122,0.20250054519396604
7,cat,False,0.07006388514235279,0.15083739837398374,-0.08077351323163096
8,chair,False,0.04874099737135612,4.765727931488801e-05,0.04869334009204123
9,cow,False,0.02680446046406848,0.0,0.02680446046406848
10,diningtable,False,0.08134848616414464,0.02462565838976674,0.0567228277743779
11,dog,False,0.11090324010389853,0.027468969789767178,0.08343427031413135
12,horse,False,0.23029302640643226,0.008583303708522113,0.22170972269791014
13,motorbike,False,0.4002764367685835,0.02981269723392293,0.37046373953466055
14,person,True,0.3081944610953854,0.07425049448355422,0.23394396661183117
15,pottedplant,False,0.00043378995433789947,0.0,0.00043378995433789947
16,sheep,False,0.0006476683937823834,0.0,0.0006476683937823834
17,sofa,False,0.12987036261408558,0.028209634651165938,0.10166072796291964
18,train,False,0.08634851479155911,0.0039260777170613236,0.08242243707449778
19,tvmonitor,False,0.01698724625384612,0.0,0.01698724625384612
