class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.001578891931746366,0.03278747929342245
1,bicycle,False,0.0400271241170745,0.006740093150120941,0.03328703096695356
2,bird,False,0.0046752838974063226,0.0016350710900473937,0.003040212807358929
3,boat,False,0.005048527443105757,0.095,-0.08995147255689424
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.0022368421052631577,0.028037210788746204
6,car,False,0.23815082024959727,0.033003410031961534,0.20514741021763575
7,cat,False,0.07006388514235279,0.0076129451367152896,0.0624509400056375
8,chair,False,0.04874099737135612,0.0038702623049181374,0.04487073506643798
9,cow,False,0.02680446046406848,0.0,0.02680446046406848
10,diningtable,False,0.08134848616414464,0.006750179850797749,0.0745983063133469
11,dog,False,0.11090324010389853,0.028759834046294563,0.08214340605760397
12,horse,False,0.23029302640643226,0.007925968347772233,0.22236705805866003
13,motorbike,False,0.4002764367685835,0.04018571857932457,0.3600907181892589
14,person,True,0.3081944610953854,0.06422744088532543,0.24396702021005995
15,pottedplant,False,0.00043378995433789947,0.0,0.00043378995433789947
16,sheep,False,0.0006476683937823834,0.0,0.0006476683937823834
17,sofa,False,0.12987036261408558,0.08114526255856086,0.04872510005552472
18,train,False,0.08634851479155911,0.006082869819879547,0.08026564497167957
19,tvmonitor,False,0.01698724625384612,0.0,0.01698724625384612
