class_id,class_name,is_target,clean_ap50,stage2_ap50,drop
0,aeroplane,False,0.034366371225168814,0.0006537102473498233,0.03371266097781899
1,bicycle,False,0.0400271241170745,0.0020794874461922516,0.037947636670882245
2,bird,False,0.0046752838974063226,0.0032322097378277154,0.0014430741595786072
3,boat,False,0.005048527443105757,0.0,0.005048527443105757
4,bottle,False,0.006500000000000001,0.0,0.006500000000000001
5,bus,False,0.030274052894009362,0.0044736842105263155,0.025800368683483045
6,car,False,0.23815082024959727,0.024097527888730395,0.21405329236086687
7,cat,False,0.07006388514235279,0.07351466275659824,-0.0034507776142454483
8,chair,False,0.04874099737135612,0.0016784443643240523,0.04706255300703207
9,cow,False,0.02680446046406848,0.0,0.02680446046406848
10,diningtable,False,0.08134848616414464,0.0017966923993167922,0.07955179376482785
11,dog,False,0.11090324010389853,0.13840130210807214,-0.02749806200417361
12,horse,False,0.23029302640643226,0.008771384603412773,0.22152164180301948
13,motorbike,False,0.4002764367685835,0.03625626045312297,0.3640201763154605
14,person,True,0.3081944610953854,0.11057438742550416,0.19762007366988124
15,pottedplant,False,0.00043378995433789947,0.0,0.00043378995433789947
16,sheep,False,0.0006476683937823834,0.0,0.0006476683937823834
17,sofa,False,0.12987036261408558,0.07901450627281714,0.050855856341268435
18,train,False,0.08634851479155911,0.002283614799286001,0.08406489999227311
19,tvmonitor,False,0.01698724625384612,0.0,0.01698724625384612
