epoch,align_clean_topk,align_adv_topk,L_entangle_bg,L_anchor,L_collapse_aux,alsi_score,cos_t_conf,cos_t_clean,M_conf_sum,rlcp_conf_mass,rlcp_trim_keep_ratio,rlcp_core_exclusion_ratio,rlcp_adaptive_inner_mean,rlcp_adaptive_outer_mean,rlcp_adaptive_inner_min,rlcp_adaptive_outer_max,confounder_purity_ratio,overlap_ratio,preserve_loss,L_margin,margin_clean_mean,margin_adv_mean,gate_positive_ratio,pag_positive_ratio,pag_threshold,pag_mean_target_score,pag_fallback_count,perturbed_area_ratio_mean,L_tv,L_budget,L_total,L_tsvc,L_sem,sld_score,mean_abs_delta,max_abs_delta,saturation_ratio,support_prebaked_ratio,support_fallback_ratio,support_empty_ratio,grad_norm_fourier,grad_norm_suppress,freq_mode,freq_active_num_bases,freq_candidate_num_bases,freq_score_top_mean
1,0.02245887715780125,0.01995618188853945,3.275952625149504,0.8942345647289461,0.167447554529339,1289384.9487346387,0.5821174670952721,0.8894160236586426,2802.2899678548183,260326.51706036745,0.8226384649465504,0.12476999648109487,13.660112979413595,32.21580564920282,8.03983035209196,36.0,0.875206006529874,0.942750745821261,0.014452973103854717,0.017738487836849823,0.41357947273908324,0.3557110893444752,0.011904762126505375,0.5343659166269891,0.7756266490148154,0.7521251167284895,4.74015748031496,0.1578192142598585,0.029676957007038,0.5299701588203901,58.941443856306904,0.167447554529339,0.8942345647289461,1289384.9487346387,0.006973334629054418,0.0627450942993164,0.08781152232024535,0.0,1.0,0.0,8.06518840789795,-1.0,explore,16,64,0.613538384437561
2,0.02234547365923703,0.01973008114436343,3.104065261487886,1.0024338267997808,0.16190879490822946,1255563.0976233482,0.589612358307901,0.8769642155314369,2803.5903097104333,260077.95800524935,0.8226916186922184,0.1251148415552453,13.652895963469462,32.19763642052307,8.04716788979917,36.0,0.8748894178129789,0.9437461363057383,0.015346827111365835,0.01893111585215158,0.4142819825080749,0.3523709871598429,0.011904762126505375,0.5345549306626876,0.7741840980924135,0.7511672923258265,4.688976377952756,0.15974723594629858,0.03356710461816528,0.5653556464068846,56.63394451391666,0.16190879490822946,1.0024338267997808,1255563.0976233482,0.00731608095600849,0.0627450942993164,0.09645051142479491,0.0,1.0,0.0,3.5549118518829346,-1.0,explore,16,64,0.5860700607299805
3,0.022365248526184968,0.019754275165038707,3.1057840695218464,1.0030406766676214,0.1620170190304596,1303798.5542309685,0.5886043200199268,0.876449212627461,2808.155730159889,259983.56955380578,0.822503733170836,0.12502085816994396,13.661800558871693,32.21067932934853,8.064523253692421,36.0,0.8749466656140963,0.9414588193624054,0.015366703268810324,0.018950124811964706,0.41254779845085043,0.3504181374988844,0.011904762126505375,0.5345339199699523,0.7718519269062084,0.7489359186873625,4.725721784776903,0.16010915927999603,0.035878745484559396,0.5922939103106502,56.66562003788986,0.1620170190304596,1.0030406766676214,1303798.5542309685,0.007426372124859941,0.0627450942993164,0.09966290793002747,0.0,1.0,0.0,6.941294193267822,-1.0,explore,16,64,0.5925682783126831
4,0.022477706096176636,0.019757607262740475,3.072947948310632,1.0481024804547077,0.16261722829945757,1221942.8742769642,0.5905470155498903,0.8744412396210703,2800.7184214888184,260366.8845144357,0.8224467792118838,0.12522770930020033,13.643956553417961,32.18508403582479,8.055490924762754,36.0,0.8747632461884705,0.9435512570142724,0.015579001109660885,0.01922135630633506,0.41218014579667195,0.34955703541440913,0.011904762126505375,0.5351132485733284,0.7765202562072003,0.7527074169757783,4.7047244094488185,0.15952469705753125,0.03686809134999598,0.5996799690360473,56.35079632656468,0.16261722829945757,1.0481024804547077,1221942.8742769642,0.007461683477551293,0.0627450942993164,0.10121319947514947,0.0,1.0,0.0,2.203007221221924,-1.0,explore,16,64,0.6010237336158752
5,0.02246384478108151,0.01973838099398286,3.0818995944471186,1.0365640327842842,0.16011423959819662,1315819.0684469708,0.5895992395934944,0.8746016545454246,2801.348384266449,260422.65091863516,0.8225890287081612,0.12500706062401865,13.670834931923974,32.224213572498066,8.05086574999604,36.0,0.874957564414321,0.9426901113259644,0.015666735659199436,0.019368296823928162,0.4132677128934485,0.35059751057875127,0.011904762126505375,0.5346519529604915,0.775745134762951,0.7527955923500054,4.746719160104987,0.15962408412629225,0.03844022686810788,0.6090940646924997,56.4348916481799,0.16011423959819662,1.0365640327842842,1315819.0684469708,0.0075218989208262425,0.0627450942993164,0.10307247875126328,0.0,1.0,0.0,3.568423271179199,-1.0,explore,16,64,0.6087139248847961
6,0.022559242406151113,0.020092114274514707,3.4595705386534763,0.7736100102151473,0.1709302678665151,1260644.8456625487,0.5764739175233419,0.905643925201131,2799.368141634884,260664.3254593176,0.8225488659069395,0.12499650918766482,13.645899784432846,32.188682932629895,8.041701019588457,36.0,0.874972851535526,0.945081819527125,0.013914405661598435,0.016524248217894656,0.41564213783722226,0.36121575682964224,0.011904762126505375,0.5349332628598678,0.776874574960351,0.7545299681361383,4.6430446194225725,0.1595267258447612,0.03570541778574465,0.6626325460869497,61.375810037447714,0.1709302678665151,0.7736100102151473,1260644.8456625487,0.00754473291049049,0.0627450942993164,0.10425580508048767,0.0,1.0,0.0,2.8491525650024414,-1.0,fixed_topk,16,64,0.6087138652801514
7,0.02232593629971205,0.019821241901933247,3.435744217374506,0.780647491493563,0.168622795541299,1335340.2153076592,0.5772534087222079,0.9036093754509715,2805.1547942607936,260348.5039370079,0.8225725225784856,0.12491858672911421,13.658868831153994,32.2099522861976,8.047372298204772,36.0,0.8750526874211044,0.9447843393161394,0.013963601178565403,0.016632387399678962,0.41260859172722797,0.3581191774780356,0.011904762126505375,0.5346012160767749,0.7745303309010831,0.7520770850682028,4.730971128608924,0.16015684401269348,0.037176545152044674,0.6645548939704895,61.01237667013654,0.168622795541299,0.780647491493563,1335340.2153076592,0.007643182681301448,0.0627450942993164,0.1067998650584008,0.0,1.0,0.0,4.56098747253418,-1.0,fixed_topk,16,64,0.6087138652801514
8,0.02245993022574723,0.01994087106396696,3.4427507624538554,0.7881438625375117,0.16814495544890407,1393823.7671117543,0.5759583996414928,0.9029311286573962,2802.0442256977553,260510.3412073491,0.822517480171259,0.1251302036534206,13.671731543073696,32.23036725363648,8.08020643608089,36.0,0.8748436086277659,0.9414472323215898,0.014138407004860246,0.016865868401996918,0.41358223185920967,0.35816814742610836,0.011904762126505375,0.5339532202962243,0.7766647235769849,0.7532678167558368,4.691601049868766,0.15995075727698058,0.03899745711582539,0.6834930129877226,61.164503823428014,0.16814495544890407,0.7881438625375117,1393823.7671117543,0.007686664051500949,0.0627450942993164,0.10841540393866891,0.0,1.0,0.0,4.063073635101318,-1.0,fixed_topk,16,64,0.6087138652801514
9,0.0224246091778901,0.019881065925118804,3.445113998072667,0.7882438801874326,0.17015722069371092,1362542.439615486,0.5757633731916402,0.9031724981174901,2803.179663897604,260337.3280839895,0.8226363911820619,0.12511759367055553,13.653237831199686,32.200014168774715,8.031356181335937,36.0,0.8748644106754525,0.943461366129224,0.01400298830622861,0.016623343840630096,0.4149484283381247,0.3603617500543125,0.011904762126505375,0.5346193049137205,0.7750554074448588,0.7527516338806964,4.717847769028872,0.16025454040587417,0.04038590929052961,0.693091680527985,61.20868489623383,0.17015722069371092,0.7882438801874326,1362542.439615486,0.007744712852249582,0.0627450942993164,0.11003726242682127,0.0,1.0,0.0,3.6008005142211914,-1.0,fixed_topk,16,64,0.6087138652801514
10,0.022433771417547124,0.019912841908873262,3.43113096492497,0.795759027789584,0.1690973730420503,1286827.3429058935,0.5767032157222323,0.902456496023652,2799.264516248062,260083.58792650918,0.8225876380035151,0.12486988148131743,13.6446130216489,32.18513069327936,8.058673443113756,36.0,0.8751095820247509,0.9416692906791897,0.014186275645044297,0.016917495623021937,0.41379706031615965,0.35785769986042515,0.011904762126505375,0.5347915230919926,0.775215001224003,0.7519529509896374,4.678477690288714,0.16037378082750975,0.04138688738714522,0.6939069351812047,61.01318958112261,0.1690973730420503,0.795759027789584,1286827.3429058935,0.007783218817980935,0.0627450942993164,0.11117625673572848,0.0,1.0,0.0,4.112154960632324,-1.0,fixed_topk,16,64,0.6087138652801514
