epoch,align_clean_topk,align_adv_topk,L_entangle_bg,L_anchor,L_collapse_aux,alsi_score,cos_t_conf,cos_t_clean,M_conf_sum,rlcp_conf_mass,rlcp_trim_keep_ratio,rlcp_core_exclusion_ratio,rlcp_adaptive_inner_mean,rlcp_adaptive_outer_mean,rlcp_adaptive_inner_min,rlcp_adaptive_outer_max,confounder_purity_ratio,overlap_ratio,preserve_loss,L_margin,margin_clean_mean,margin_adv_mean,gate_positive_ratio,pag_positive_ratio,pag_threshold,pag_mean_target_score,pag_fallback_count,perturbed_area_ratio_mean,L_tv,L_budget,L_total,L_tsvc,L_sem,sld_score,mean_abs_delta,max_abs_delta,saturation_ratio,support_prebaked_ratio,support_fallback_ratio,support_empty_ratio,raw_instance_area_ratio,final_support_area_ratio,ring_added_area_ratio,pixel_support_area_ratio,ring_area_ratio,ring_safe_area_ratio,topology_context_overlap_ratio,raw_core_delta_abs_mean,raw_ring_delta_abs_mean,raw_ring_to_core_ratio,eff_core_delta_abs_mean,eff_ring_delta_abs_mean,eff_ring_to_core_ratio,core_delta_abs_mean,ring_delta_abs_mean,effective_ring_to_core_ratio,core_grad_abs_mean,ring_grad_abs_mean,ring_grad_to_core_ratio,grad_snr_M_AL,cos_t_conf_clean,cos_t_conf_adv,cos_t_conf_drift,target_feature_norm_clean,target_feature_norm_adv,context_feature_norm_clean,context_feature_norm_adv,target_logit_clean_mean,target_logit_adv_mean,target_prob_clean_mean,target_prob_adv_mean,frozen_assignment_guidance_enabled,freeze_assignment_epoch,ring_weight,topology_ring_weight,diag_p3_topology_sum,diag_p3_assign_sum,diag_p3_M_AL_sum,diag_p3_overlap_ratio,diag_p3_M_AL_density,diag_p3_pag_units,diag_p4_topology_sum,diag_p4_assign_sum,diag_p4_M_AL_sum,diag_p4_overlap_ratio,diag_p4_M_AL_density,diag_p4_pag_units,diag_p5_topology_sum,diag_p5_assign_sum,diag_p5_M_AL_sum,diag_p5_overlap_ratio,diag_p5_M_AL_density,diag_p5_pag_units,grad_norm_fourier,grad_norm_suppress,support_source,freq_mode,freq_active_num_bases,freq_candidate_num_bases,freq_score_top_mean,freq_score_max,freq_score_min,active_basis_indices
1,0.02245887715780125,0.020348439149538988,3.8151742060353437,0.5600152689318256,0.17731572423628936,2244288.9970004773,0.5642070735161855,0.9322850576301263,2763.538395144912,256712.97112860892,0.9236571507060729,0.12476999648109487,13.660112979413595,32.21580564920282,8.03983035209196,36.0,0.8629149479047445,0.950325685107915,0.006676766654144082,0.005133003640414693,0.41357947273908324,0.3975153962966651,0.011904762126505375,0.5343659166269891,0.7756266490148154,0.7521251167284895,4.74015748031496,0.10761227435249043,0.01858288082453053,0.4880521412831279,71.69669957799236,0.17731572423628936,0.5600152689318256,2244288.9970004773,0.004697435046301719,0.0627450942993164,0.058117401654150073,1.0,0.0,0.0,0.15890670852025848,0.15890670852025848,0.0,0.10925669782352573,0.03655147630711553,0.03110122065648945,0.0,0.08053852595921722,0.0,0.0,0.04298258983905206,0.0,0.0,0.04298258983905206,0.0,0.0,nan,nan,nan,nan,0.5224551508921808,0.5676013558177389,0.045146204644539854,5.979519369408217,5.594253010950065,3.9711704671852215,3.961640480361482,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16767.286089238845,44.40419947506562,44.26902887139108,0.9883673519982918,0.0028387376289846027,44.40419947506562,4200.3385826771655,64.66535433070867,62.42125984251968,0.9630877747147262,0.01551263574458154,64.66535433070867,1052.9107611548557,77.01837270341207,69.41863517060368,0.8995219286107277,0.06648865152094376,77.01837270341207,3.42889404296875,-1.0,prebaked,explore,16,64,0.6649829149246216,0.7851318120956421,0.13439330458641052,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
2,0.02234547365923703,0.02002721286215025,3.6780872276135943,0.6259858310222626,0.17340950986609996,2188303.8524288014,0.5713099552095195,0.92398871112214,2764.8156806098086,256467.1627296588,0.9236001555062338,0.1251148415552453,13.652895963469462,32.19763642052307,8.04716788979917,36.0,0.8626094413891258,0.9514674439099541,0.007195959371829948,0.0056625117846086145,0.4142819825080749,0.3966933476330414,0.011904762126505375,0.5345549306626876,0.7741840980924135,0.7511672923258265,4.688976377952756,0.10883411563678676,0.02000340149833227,0.4961988367433623,69.51560949090272,0.17340950986609996,0.6259858310222626,2188303.8524288014,0.004897883815172659,0.0627450942993164,0.06297543630238593,1.0,0.0,0.0,0.158905291573273,0.158905291573273,0.0,0.10934799753149038,0.03659023625135735,0.031127026167715316,0.0,0.08731511567562938,0.0,0.0,0.04478152494976088,0.0,0.0,0.04478152494976088,0.0,0.0,nan,nan,nan,nan,0.5245417999235664,0.5753222362406406,0.05078043729847768,5.964838602140298,5.539946604755397,3.969818208422039,3.9588129195432744,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16782.50656167979,44.63385826771653,44.47244094488189,0.9888071819333251,0.0028666313141388127,44.63385826771653,4204.034120734908,64.44881889763779,62.267716535433074,0.9651849133872457,0.015549795528256874,64.44881889763779,1053.8608923884515,76.9737532808399,69.4028871391076,0.900410236409292,0.0666103981132148,76.9737532808399,2.274834632873535,-1.0,prebaked,explore,16,64,0.6716389060020447,0.7864885926246643,0.07299604266881943,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
3,0.022365248526184968,0.020078922822347932,3.6648482531700233,0.6345109964997124,0.171971553169054,2194004.329870124,0.5713269932428574,0.9225500056019812,2769.3712019365503,256372.4750656168,0.9235604137104014,0.12502085816994396,13.661800558871693,32.21067932934853,8.064523253692421,36.0,0.8626984228508596,0.9502654392968394,0.007297711008108585,0.005758299049325507,0.41254779845085043,0.39510440226067395,0.011904762126505375,0.5345339199699523,0.7718519269062084,0.7489359186873625,4.725721784776903,0.10910000722474,0.021299634780245894,0.5210907467081165,69.3117516084606,0.171971553169054,0.6345109964997124,2194004.329870124,0.004970517310770986,0.0627450942993164,0.06513607235542276,1.0,0.0,0.0,0.15890982648163265,0.15890982648163265,0.0,0.10960468942216375,0.036679484404799505,0.031204447614669485,0.0,0.09330566079479742,0.0,0.0,0.045367331254350635,0.0,0.0,0.045367331254350635,0.0,0.0,nan,nan,nan,nan,0.5237246622752693,0.5750585129111353,0.0513338503127653,5.960551838653713,5.533904708485168,3.9710628818965015,3.9602142021203415,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16821.202099737533,44.612860892388454,44.4750656167979,0.9854019265115557,0.0028314149833294756,44.612860892388454,4213.396325459317,64.33595800524934,62.13517060367454,0.96531277243873,0.015386643245690293,64.33595800524934,1056.2178477690288,77.10104986876641,69.49475065616798,0.9000816189402336,0.06640783078504867,77.10104986876641,3.679830551147461,-1.0,prebaked,explore,16,64,0.6741734743118286,0.7862452268600464,0.050135597586631775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
4,0.022477706096176636,0.020122153656997196,3.644610479434957,0.6563597710661375,0.17291212298973338,2172700.6510472097,0.5728917770472309,0.9220680047937994,2762.0117398826906,256754.1653543307,0.9235269268510218,0.12522770930020033,13.643956553417961,32.18508403582479,8.055490924762754,36.0,0.8625379831310139,0.9525077410893341,0.0073890442070196774,0.005846372399819994,0.41218014579667195,0.3939214633909736,0.011904762126505375,0.5351132485733284,0.7765202562072003,0.7527074169757783,4.7047244094488185,0.10866476676556382,0.021653171342716913,0.5289315999023557,69.04852060633381,0.17291212298973338,0.6563597710661375,2172700.6510472097,0.005007290957236462,0.0627450942993164,0.06659617969213821,1.0,0.0,0.0,0.15891575931028118,0.15891575931028118,0.0,0.10915821374166669,0.03652472811655735,0.031073426891343174,0.0,0.096534337269342,0.0,0.0,0.04588265221115446,0.0,0.0,0.04588265221115446,0.0,0.0,nan,nan,nan,nan,0.5238519910582826,0.5768269729765487,0.052974981667461965,5.978072444284997,5.533107206681686,3.969164870855378,3.9574424424196466,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16751.992125984252,44.43963254593176,44.29002624671916,0.9939051629336403,0.0027956667386168877,44.43963254593176,4196.4488188976375,64.56955380577428,62.318897637795274,0.9642464761986849,0.015547465284182075,64.56955380577428,1052.0498687664042,77.02099737532808,69.3753280839895,0.8993715841356779,0.06653975816022374,77.02099737532808,3.3792529106140137,-1.0,prebaked,explore,16,64,0.6792278289794922,0.8053905963897705,0.03820086643099785,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
5,0.02246384478108151,0.02013257883912016,3.6501611630747637,0.6506750497996338,0.1708109574367994,2267994.059578347,0.5719981958807712,0.9216725414819297,2762.6928337410905,256808.81364829396,0.9236482056941474,0.12500706062401865,13.670834931923974,32.224213572498066,8.05086574999604,36.0,0.8627418575738758,0.9506473482145624,0.007389717390076343,0.005806928598538917,0.4132677128934485,0.3960941914381005,0.011904762126505375,0.5346519529604915,0.775745134762951,0.7527955923500054,4.746719160104987,0.1086779010538354,0.02284394797143035,0.5479708547041485,69.11696927128189,0.1708109574367994,0.6506750497996338,2267994.059578347,0.005057223100860523,0.0627450942993164,0.06824408812824823,1.0,0.0,0.0,0.15892557353193137,0.15892557353193137,0.0,0.10916145151759696,0.03650979642460509,0.031054976726258832,0.0,0.10206210033459602,0.0,0.0,0.046347760315692405,0.0,0.0,0.046347760315692405,0.0,0.0,nan,nan,nan,nan,0.5231032078125869,0.5761353041282478,0.053032096529120866,5.964598325815312,5.5227536649320195,3.9681020750878475,3.9557675110699333,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16750.6062992126,44.53280839895013,44.3989501312336,0.988836471102735,0.002810539800028484,44.53280839895013,4196.191601049869,64.59317585301837,62.41863517060367,0.9641236197540988,0.01553770913725644,64.59317585301837,1051.98687664042,77.03805774278216,69.39238845144357,0.8989819537868531,0.06665071403831407,77.03805774278216,4.266058444976807,-1.0,prebaked,explore,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
6,0.022559242406151113,0.020955262500963853,3.888312195229718,0.482355506675137,0.17812288775453416,2186857.6833639895,0.5656066147817507,0.9414635162158485,2760.804512497844,257050.44094488188,0.9234585070912495,0.12499650918766482,13.645899784432846,32.188682932629895,8.041701019588457,36.0,0.8627236248752548,0.9530829776512998,0.006363881826144093,0.004482798945834028,0.41564213783722226,0.40161861942743693,0.011904762126505375,0.5349332628598678,0.776874574960351,0.7545299681361383,4.6430446194225725,0.10853672547759659,0.022016867098161398,0.6260354162201168,72.66564619009263,0.17812288775453416,0.482355506675137,2186857.6833639895,0.005155200430795824,0.0627450942993164,0.071600086537246,1.0,0.0,0.0,0.15892197466767946,0.15892197466767946,0.0,0.10900347867584605,0.036450763074118944,0.03101158750260596,0.0,0.12000876612183309,0.0,0.0,0.04727791023928017,0.0,0.0,0.04727791023928017,0.0,0.0,nan,nan,nan,nan,0.5247724280093757,0.5684073425959777,0.04363491540044121,5.968055772239041,5.613696118957208,3.968969948033126,3.9642012025636224,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16725.97375328084,44.58792650918635,44.465879265091864,0.9948257825624138,0.0028459272898571867,44.58792650918635,4190.120734908137,64.49606299212599,62.305774278215225,0.9643524569742433,0.015612272454106665,64.49606299212599,1050.5354330708662,77.00262467191601,69.38845144356955,0.900070693417244,0.06669641413004505,77.00262467191601,4.241005897521973,-1.0,prebaked,fixed_topk,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
7,0.02232593629971205,0.02049044653739086,3.8013505672845316,0.5195922225791951,0.17595914590937572,2193966.6408083295,0.5694813502077355,0.9356931994749806,2766.406630628689,256734.69291338584,0.9235560795714326,0.12491858672911421,13.658868831153994,32.2099522861976,8.047372298204772,36.0,0.8627393419342628,0.9537336654965428,0.006773728884639233,0.004768814312345611,0.41260859172722797,0.3977562521347224,0.011904762126505375,0.5346012160767749,0.7745303309010831,0.7520770850682028,4.730971128608924,0.10894534262654976,0.021592309512686855,0.5655093078068861,71.26227379345832,0.17595914590937572,0.5195922225791951,2193966.6408083295,0.0052147209240988954,0.0627450942993164,0.07284923475675696,1.0,0.0,0.0,0.15892000638281648,0.15892000638281648,0.0,0.10940382243415189,0.03659703815722559,0.031137688139213977,0.0,0.11628791340680426,0.0,0.0,0.04768391138582936,0.0,0.0,0.04768391138582936,0.0,0.0,nan,nan,nan,nan,0.5248899567653917,0.5730291949104347,0.04813923773697796,5.960447185412891,5.580543053953246,3.9748359092577217,3.9667590935816404,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16787.745406824146,44.59842519685039,44.471128608923884,0.996630391284901,0.002806278362752994,44.59842519685039,4205.3490813648295,64.50393700787401,62.28608923884514,0.9629761032002472,0.015520040330718318,64.50393700787401,1054.4855643044618,77.01706036745406,69.48425196850394,0.9015945020044837,0.06645903935807389,77.01706036745406,5.768610954284668,-1.0,prebaked,fixed_topk,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
8,0.02245993022574723,0.020548911850161243,3.809759222616361,0.5261355488319096,0.17493659521885743,2255839.8235565005,0.5682491619117095,0.9354388692221514,2763.4015410015263,256898.48556430446,0.9235695772544398,0.1251302036534206,13.671731543073696,32.23036725363648,8.08020643608089,36.0,0.8625796590535489,0.9509465563803907,0.006807852293831587,0.004794657917258151,0.41358223185920967,0.3985994643974179,0.011904762126505375,0.5339532202962243,0.7766647235769849,0.7532678167558368,4.691601049868766,0.10868350827083813,0.022760433604417665,0.5884053056321432,71.44024704259837,0.17493659521885743,0.5261355488319096,2255839.8235565005,0.005249642906343843,0.0627450942993164,0.07424567210099359,1.0,0.0,0.0,0.15891372919556246,0.15891372919556246,0.0,0.10913445053529239,0.03651117388735919,0.031059571255849103,0.0,0.12302460076174435,0.0,0.0,0.04809732243172221,0.0,0.0,0.04809732243172221,0.0,0.0,nan,nan,nan,nan,0.5235832142750367,0.5716909214632616,0.04810770680276284,5.971235912365547,5.590745272911755,3.968201605531068,3.9604728186328684,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16748.57742782152,44.455380577427825,44.3254593175853,0.9874039467654908,0.0028353086476083466,44.455380577427825,4195.769028871391,64.7020997375328,62.511811023622045,0.9649883144084537,0.015743458366656138,64.7020997375328,1051.9685039370079,76.92782152230971,69.36745406824147,0.9004474079672258,0.06634429713563925,76.92782152230971,5.462947368621826,-1.0,prebaked,fixed_topk,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
9,0.0224246091778901,0.020525101903493558,3.809376662171732,0.5305053973252692,0.17715677036231584,2307953.7197847916,0.5679723928476361,0.9352554261736554,2764.4408451323966,256723.56955380578,0.9235887652619938,0.12511759367055553,13.653237831199686,32.200014168774715,8.031356181335937,36.0,0.8625856752960087,0.9521736321182097,0.00682080810122055,0.004786690207694173,0.4149484283381247,0.4000142231935591,0.011904762126505375,0.5346193049137205,0.7750554074448588,0.7527516338806964,4.717847769028872,0.10881606063113751,0.0237588387109789,0.6043690240445725,71.4592554788264,0.17715677036231584,0.5305053973252692,2307953.7197847916,0.005289900992945658,0.0627450942993164,0.0754335421550618,1.0,0.0,0.0,0.1589138172328799,0.1589138172328799,0.0,0.10926218718055665,0.03656396440907413,0.03110755487220494,0.0,0.12860583199122153,0.0,0.0,0.048409812255204424,0.0,0.0,0.048409812255204424,0.0,0.0,nan,nan,nan,nan,0.5226057842276075,0.5713856289536411,0.04877984559832785,5.983693188048202,5.5967207872752915,3.9706554441522957,3.9625293765793947,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16769.364829396327,44.518372703412076,44.38320209973753,0.9913206314784748,0.0028174004552535834,44.518372703412076,4200.750656167979,64.5262467191601,62.33202099737533,0.9652410304126563,0.015494397162556173,64.5262467191601,1053.1706036745406,77.03018372703411,69.4251968503937,0.8999592344635008,0.06661565559787222,77.03018372703411,3.4365193843841553,-1.0,prebaked,fixed_topk,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
10,0.022433771417547124,0.02057841619882449,3.7949455529060265,0.5365247841816875,0.1760009581961344,2202699.0731255882,0.569356627145673,0.9349654125598883,2760.538679895544,256470.8845144357,0.9237533176404173,0.12486988148131743,13.6446130216489,32.18513069327936,8.058673443113756,36.0,0.8627311461113784,0.9505028404833915,0.006796703966618014,0.0047370133435972305,0.41379706031615965,0.39889247373254905,0.011904762126505375,0.5347915230919926,0.775215001224003,0.7519529509896374,4.678477690288714,0.10891274542711538,0.024436392396043137,0.6111716709424817,71.22332173945709,0.1760009581961344,0.5365247841816875,2202699.0731255882,0.005318691369801212,0.0627450942993164,0.07628094856663951,1.0,0.0,0.0,0.15891862699318787,0.15891862699318787,0.0,0.10935463697656872,0.0365638936041143,0.031111856839397135,0.0,0.1325363840924015,0.0,0.0,0.04863158209813258,0.0,0.0,0.04863158209813258,0.0,0.0,nan,nan,nan,nan,0.5236402199076436,0.5727709284526469,0.049130709689417705,5.973261915041704,5.582572226803861,3.9693428335435987,3.9613219695141337,nan,nan,nan,nan,0.0,0.0,0.25,0.25,16778.30971128609,44.503937007874015,44.37007874015748,0.9870623955793156,0.0028071925054892434,44.503937007874015,4203.010498687664,64.56561679790026,62.36482939632546,0.9648352964367717,0.01552414756492095,64.56561679790026,1053.761154855643,77.01968503937007,69.36614173228347,0.8996108294340873,0.06655801952386496,77.01968503937007,5.473857402801514,-1.0,prebaked,fixed_topk,16,64,0.6864197850227356,0.8047109842300415,0.03083585947751999,"[10, 34, 37, 39, 40, 46, 47, 48, 49, 51, 52, 53, 54, 55, 61, 63]"
