epoch,align_clean_topk,align_adv_topk,L_entangle_bg,L_anchor,L_collapse_aux,alsi_score,cos_t_conf,cos_t_clean,M_conf_sum,rlcp_conf_mass,rlcp_trim_keep_ratio,rlcp_core_exclusion_ratio,rlcp_adaptive_inner_mean,rlcp_adaptive_outer_mean,rlcp_adaptive_inner_min,rlcp_adaptive_outer_max,confounder_purity_ratio,overlap_ratio,preserve_loss,L_margin,margin_clean_mean,margin_adv_mean,gate_positive_ratio,pag_positive_ratio,pag_threshold,pag_mean_target_score,pag_fallback_count,perturbed_area_ratio_mean,L_tv,L_budget,L_total,L_tsvc,L_sem,sld_score,mean_abs_delta,max_abs_delta,saturation_ratio,support_prebaked_ratio,support_fallback_ratio,support_empty_ratio,grad_norm_fourier,grad_norm_suppress,freq_mode,freq_active_num_bases,freq_candidate_num_bases,freq_score_top_mean
1,0.02245887715780125,0.019951034295727105,3.2987290379882173,0.8792743179474379,0.16816041833694212,1293495.864666003,0.5815380668872193,0.8915307627288481,2802.2899678548183,260326.51706036745,0.8226384649465504,0.12476999648109487,13.660112979413595,32.21580564920282,8.03983035209196,36.0,0.875206006529874,0.942750745821261,0.01437233906884597,0.01759191729776742,0.41357947273908324,0.3562560744016502,0.011904762126505375,0.5343659166269891,0.7756266490148154,0.7521251167284895,4.74015748031496,0.1578200871902188,0.0299738941352394,0.5310531184272816,59.24407943965882,0.16816041833694212,0.8792743179474379,1293495.864666003,0.006972014295973685,0.0627450942993164,0.08781784457787675,0.0,1.0,0.0,11.40892219543457,-1.0,explore,16,64,0.610095739364624
2,0.02234547365923703,0.019738022765398926,3.105256202339813,1.0038635149559012,0.1620351024304475,1256486.904521828,0.5896668670071598,0.8771995907354443,2803.5903097104333,260077.95800524935,0.8226916186922184,0.1251148415552453,13.652895963469462,32.19763642052307,8.04716788979917,36.0,0.8748894178129789,0.9437461363057383,0.015323865284845037,0.018896692014849937,0.4142819825080749,0.3523670791445442,0.011904762126505375,0.5345549306626876,0.7741840980924135,0.7511672923258265,4.688976377952756,0.15974684521125684,0.03354680171270618,0.5656425981071052,56.66102245661217,0.1620351024304475,1.0038635149559012,1256486.904521828,0.007316418959492734,0.0627450942993164,0.0964562969472934,0.0,1.0,0.0,3.5589818954467773,-1.0,explore,16,64,0.5889707207679749
3,0.022365248526184968,0.019751153561210853,3.104641053620286,1.003304392373155,0.16179665950496053,1303792.5266992315,0.5886673311966093,0.8763145856031282,2808.155730159889,259983.56955380578,0.822503733170836,0.12502085816994396,13.661800558871693,32.21067932934853,8.064523253692421,36.0,0.8749466656140963,0.9414588193624054,0.01542236152889691,0.01904958065850061,0.41254779845085043,0.35039924509490883,0.011904762126505375,0.5345339199699523,0.7718519269062084,0.7489359186873625,4.725721784776903,0.16011098656910924,0.03583303667370259,0.5926772826925664,56.64760847917692,0.16179665950496053,1.003304392373155,1303792.5266992315,0.007428016475697593,0.0627450942993164,0.0997013231235852,0.0,1.0,0.0,7.663424968719482,-1.0,explore,16,64,0.5934106707572937
4,0.022477706096176636,0.019757438407663325,3.07084261526273,1.0519702053601974,0.16266629942680594,1221075.734927089,0.5907265780491984,0.8743351001621651,2800.7184214888184,260366.8845144357,0.8224467792118838,0.12522770930020033,13.643956553417961,32.18508403582479,8.055490924762754,36.0,0.8747632461884705,0.9435512570142724,0.015588401203236868,0.01924027975317423,0.41218014579667195,0.3494668912504289,0.011904762126505375,0.5351132485733284,0.7765202562072003,0.7527074169757783,4.7047244094488185,0.15952430061233325,0.03683272199191916,0.6005231203838909,56.33552492196792,0.16266629942680594,1.0519702053601974,1221075.734927089,0.007456856012207473,0.0627450942993164,0.10109663466260502,0.0,1.0,0.0,2.0802724361419678,-1.0,explore,16,64,0.6015652418136597
5,0.02246384478108151,0.019756353170588964,3.0809360245081385,1.0354028623404465,0.16005649310084466,1315732.677637221,0.5897589225097121,0.8746968933551433,2801.348384266449,260422.65091863516,0.8225890287081612,0.12500706062401865,13.670834931923974,32.224213572498066,8.05086574999604,36.0,0.874957564414321,0.9426901113259644,0.01565683734532338,0.019358319221516665,0.4132677128934485,0.35054289428346114,0.011904762126505375,0.5346519529604915,0.775745134762951,0.7527955923500054,4.746719160104987,0.15962128669727504,0.03842512717142975,0.6100251142747133,56.413037928383496,0.16005649310084466,1.0354028623404465,1315732.677637221,0.0075211825125466964,0.0627450942993164,0.10306162875038119,0.0,1.0,0.0,4.813497066497803,-1.0,explore,16,64,0.6069862246513367
6,0.022559242406151113,0.019855921752530876,3.3811175360141466,0.8089923936863896,0.1689878003451768,1267246.734175993,0.5854107177906777,0.9050737971787058,2799.368141634884,260664.3254593176,0.8225488659069395,0.12499650918766482,13.645899784432846,32.188682932629895,8.041701019588457,36.0,0.874972851535526,0.945081819527125,0.013390821328367108,0.015202697429228806,0.41564213783722226,0.3649783762773191,0.011904762126505375,0.5349332628598678,0.776874574960351,0.7545299681361383,4.6430446194225725,0.1593530609069534,0.03545896713854134,0.6262912947361864,60.253035878259055,0.1689878003451768,0.8089923936863896,1267246.734175993,0.007502306240495891,0.0627450942993164,0.10278458317394644,0.0,1.0,0.0,3.5928921699523926,-1.0,fixed_topk,16,64,0.6069862842559814
7,0.02232593629971205,0.019314320740263097,3.186186662183346,0.9308002333002766,0.1636398304009375,1306249.9338602368,0.5931210988619193,0.8899439156211902,2805.1547942607936,260348.5039370079,0.8225725225784856,0.12491858672911421,13.658868831153994,32.2099522861976,8.047372298204772,36.0,0.8750526874211044,0.9447843393161394,0.014881094236273974,0.017180501618893118,0.41260859172722797,0.35635789908136284,0.011904762126505375,0.5346012160767749,0.7745303309010831,0.7520770850682028,4.730971128608924,0.15988955331912505,0.03670070050504264,0.5824615752759568,57.63444532058996,0.1636398304009375,0.9308002333002766,1306249.9338602368,0.007606291439472221,0.0627450942993164,0.10511491866171203,0.0,1.0,0.0,4.526886463165283,-1.0,fixed_topk,16,64,0.6069862842559814
8,0.02245993022574723,0.019420969970964305,3.1919560882988876,0.9423028296373022,0.16323182396492933,1378942.7270994794,0.5919183068205575,0.8894891673472504,2802.0442256977553,260510.3412073491,0.822517480171259,0.1251302036534206,13.671731543073696,32.23036725363648,8.08020643608089,36.0,0.8748436086277659,0.9414472323215898,0.015168555374220601,0.01761391178996295,0.41358223185920967,0.3556743314846607,0.011904762126505375,0.5339532202962243,0.7766647235769849,0.7532678167558368,4.691601049868766,0.15961106098073674,0.03882737134111522,0.6066096145024137,57.78647698630185,0.16323182396492933,0.9423028296373022,1378942.7270994794,0.00766597975600325,0.0627450942993164,0.10723720097870339,0.0,1.0,0.0,4.906391143798828,-1.0,fixed_topk,16,64,0.6069862842559814
9,0.0224246091778901,0.019391970004668836,3.191927860415201,0.944583750772351,0.1651588035771853,1330518.2143374337,0.5920016758554563,0.8896817768600461,2803.179663897604,260337.3280839895,0.8226363911820619,0.12511759367055553,13.653237831199686,32.200014168774715,8.031356181335937,36.0,0.8748644106754525,0.943461366129224,0.014889620531110821,0.017112794033376368,0.4149484283381247,0.35829877550285943,0.011904762126505375,0.5346193049137205,0.7750554074448588,0.7527516338806964,4.717847769028872,0.15989628747066487,0.04054311759711251,0.6258933318881538,57.8017476199493,0.1651588035771853,0.944583750772351,1330518.2143374337,0.007717251630372849,0.0627450942993164,0.1089047855572907,0.0,1.0,0.0,3.780203104019165,-1.0,fixed_topk,16,64,0.6069862842559814
10,0.022433771417547124,0.019381091310312664,3.177303965010355,0.9498526207574709,0.16386482955550585,1260140.9795945813,0.5931127132406281,0.889003261736059,2799.264516248062,260083.58792650918,0.8225876380035151,0.12486988148131743,13.6446130216489,32.18513069327936,8.058673443113756,36.0,0.8751095820247509,0.9416692906791897,0.015296099921370663,0.01778650790243043,0.41379706031615965,0.35499140004238744,0.011904762126505375,0.5347915230919926,0.775215001224003,0.7519529509896374,4.678477690288714,0.15999710160916245,0.04172231548825118,0.630050419196682,57.58411890064951,0.16386482955550585,0.9498526207574709,1260140.9795945813,0.0077647719113033975,0.0627450942993164,0.1101926638307221,0.0,1.0,0.0,4.529865741729736,-1.0,fixed_topk,16,64,0.6069862842559814
11,0.022462657011747166,0.019455657046034032,3.1843845944392086,0.9370859398303695,0.1643103679294974,1264752.1309285173,0.5930605982532132,0.8896308544296393,2801.308718543668,260448.56430446194,0.8226088568346602,0.12470834247497062,13.67038628029129,32.22711119612693,8.017373835757576,36.0,0.875269309069343,0.944685849361149,0.015159906795629717,0.017522886124506146,0.4129031226821146,0.3548781012925576,0.011904762126505375,0.5341485519730832,0.7760071965438239,0.752966061107283,4.73753280839895,0.1598155981521281,0.04249599865170836,0.6349428827994139,57.638042419914186,0.1643103679294974,0.9370859398303695,1264752.1309285173,0.007780369109623232,0.0627450942993164,0.11090593947356767,0.0,1.0,0.0,8.16889476776123,-1.0,fixed_topk,16,64,0.6069862842559814
12,0.02236985585290518,0.019258521639025743,3.1758528838320355,0.9495250365239741,0.1635466160110914,1270589.7432149153,0.5930287407113082,0.8887827327036593,2807.2972584588433,260304.77427821522,0.8226085838683324,0.12443771841066716,13.665183040960853,32.21873967260233,8.053238658095404,36.0,0.8755333970717522,0.9413433807220833,0.015184730691028627,0.017595976481531633,0.41571044047751765,0.35796440138513336,0.011904762126505375,0.5347353293998482,0.7730272313889798,0.7502892693217278,4.744094488188976,0.1602509886104604,0.04412529718257937,0.6443932408422935,57.557658107887725,0.1635466160110914,0.9495250365239741,1270589.7432149153,0.007838850227377703,0.0627450942993164,0.11245412107684168,0.0,1.0,0.0,5.837389945983887,-1.0,fixed_topk,16,64,0.6069862842559814
13,0.022479491652383072,0.019380609380213295,3.163071505979603,0.9497069167339895,0.16306493613194292,1267869.3029573988,0.5941596051787241,0.888295433587498,2800.2784650507247,260469.18372703413,0.8224990050310851,0.1244950789340933,13.650980507208168,32.196990389046235,8.039059975943308,36.0,0.8754837782855694,0.943892594175579,0.015330142558801656,0.01774393360459263,0.4148057728927592,0.35651507729229337,0.011904762126505375,0.5349673484423118,0.7757982021609785,0.7530972689157471,4.702099737532809,0.15992092102609595,0.04521057256094114,0.6608400002239257,57.346671217069854,0.16306493613194292,0.9497069167339895,1267869.3029573988,0.007836543726355933,0.0627450942993164,0.1128483666620386,0.0,1.0,0.0,3.4675135612487793,-1.0,fixed_topk,16,64,0.6069862842559814
14,0.02231239989458576,0.01927739029305344,3.1750709613164267,0.9556416592260045,0.1604687617871705,1281116.4822939606,0.5932380057943041,0.8888939132136627,2809.377838081366,260108.7034120735,0.8226342122750847,0.12491031219774822,13.677770753952254,32.23609636712046,8.06375818556361,36.0,0.8750686294535268,0.9442242640168255,0.015123403527874137,0.017494101784136414,0.41257178853815935,0.35504712453820886,0.011904762126505375,0.533991848672485,0.7715689294734264,0.7492550614073776,4.732283464566929,0.16076555007242468,0.04687254574257401,0.6713756970533236,57.56788823485687,0.1604687617871705,0.9556416592260045,1281116.4822939606,0.007909916156140251,0.0627450942993164,0.1145357817724308,0.0,1.0,0.0,3.8007915019989014,-1.0,fixed_topk,16,64,0.6069862842559814
15,0.022400711232238985,0.019308216014285413,3.16055507046657,0.9564166997517813,0.1621622250481384,1249394.5017250874,0.5937622139655698,0.8877052334271703,2802.0490036611477,260378.24934383202,0.8225627223050921,0.12544543540220968,13.673778708705724,32.23289881038096,8.064515107868717,36.0,0.8745167934603416,0.9434655729218548,0.015314816735596874,0.017753542320536365,0.4124817827476917,0.3538939428767507,0.011904762126505375,0.5341844198364923,0.7758701960772793,0.7528539885815492,4.696850393700787,0.16021414642806442,0.047943835452277206,0.6765012129398156,57.33651676328164,0.1621622250481384,0.9564166997517813,1249394.5017250874,0.007919669840631522,0.0627450942993164,0.11530668522155504,0.0,1.0,0.0,4.943511486053467,-1.0,fixed_topk,16,64,0.6069862842559814
16,0.02235653484973499,0.019334251327828806,3.181299293135095,0.9434497849600209,0.16419780408851117,1345703.8594033855,0.5925290985383281,0.8887916804663678,2803.4984199210207,260410.3254593176,0.822676654393383,0.12493102317888183,13.661623733309522,32.214838278078815,8.059395888666536,36.0,0.8750540613809845,0.942478238340444,0.015212496784772343,0.01757271159059867,0.4128832291625929,0.3549091562315861,0.011904762126505375,0.5345327796798895,0.7757082879330134,0.752767490392274,4.702099737532809,0.16031231244248667,0.047989430106452756,0.6698742294561831,57.618740041737794,0.16419780408851117,0.9434497849600209,1345703.8594033855,0.007929753496255383,0.0627450942993164,0.11556834703081549,0.0,1.0,0.0,6.470768451690674,-1.0,fixed_topk,16,64,0.6069862842559814
17,0.022489815354567226,0.01938046501482546,3.1595914889508343,0.9478052211167618,0.16309019692457255,1206944.03810603,0.5941134987110538,0.8876617746403213,2800.751076151798,260555.73228346457,0.8226853334528255,0.12532770435193835,13.654185706975849,32.203211811833704,8.047688540910247,36.0,0.8746442570597266,0.9437305482192688,0.015447831727940776,0.017893941258462245,0.4141806648785048,0.3552530624383078,0.011904762126505375,0.5348527946345566,0.7765896269799722,0.7536528810090998,4.727034120734908,0.16023604691106816,0.05026544994256628,0.67952376948254,57.28371210173359,0.16309019692457255,0.9478052211167618,1206944.03810603,0.007955762976902755,0.0627450942993164,0.11665195850484328,0.0,1.0,0.0,3.671452522277832,-1.0,fixed_topk,16,64,0.6069862842559814
18,0.022447906650866815,0.019321556648562156,3.1478674155207758,0.9585878091847176,0.16405701042786044,1183817.9750442503,0.5949753838691495,0.8873938855667014,2801.008540529798,260461.12598425196,0.822522428431015,0.12508854248031934,13.661080330375489,32.21016514340112,8.042401485987579,36.0,0.8748872980970985,0.9443743229184894,0.015252229234501915,0.017591002549556894,0.4160211931650094,0.35813007271039515,0.011904762126505375,0.5345083740773693,0.7763142278574906,0.7530802693581912,4.691601049868766,0.16077758989778404,0.054012565269792485,0.6997984297319347,57.14998195177614,0.16405701042786044,0.9585878091847176,1183817.9750442503,0.008013830133383786,0.0627450942993164,0.11842491976388796,0.0,1.0,0.0,3.7342641353607178,-1.0,fixed_topk,16,64,0.6069862842559814
19,0.022349536921242325,0.01926522757405821,3.162351800700811,0.9499206668122859,0.1648443842458287,1217221.848603704,0.5938046546432914,0.8879559035637039,2806.8577302947774,260129.54855643044,0.8227331938966786,0.12545190815285892,13.66364425943772,32.21747970795854,8.039986316637561,36.0,0.8745196728344823,0.9428508712212463,0.015419896736037074,0.01790434619424965,0.41280504327824735,0.3538997489323453,0.011904762126505375,0.5347803123598804,0.7739129543133703,0.7510286212955358,4.741469816272966,0.1616030545450571,0.05564163340221396,0.6907392636997494,57.351564822860276,0.1648443842458287,0.9499206668122859,1217221.848603704,0.008064577832642033,0.0627450942993164,0.11954195937263996,0.0,1.0,0.0,3.329167127609253,-1.0,fixed_topk,16,64,0.6069862842559814
20,0.022410524829982577,0.019328008135756247,3.156180227209577,0.9664179736704338,0.16375321793196396,1248934.3864530944,0.5945038002241838,0.8879540757140042,2800.1585258290297,260102.01049868765,0.8225341161561447,0.12518738365157672,13.666472457240875,32.220800224508366,8.029334607446264,36.0,0.8747986277287536,0.9450193222041422,0.015187271024904695,0.017499661301947113,0.41393927105377354,0.3564267436193982,0.011904762126505375,0.5343049120647084,0.7750558010706062,0.7524246756967752,4.711286089238845,0.16204345507884588,0.05819427942627371,0.7003414327391176,57.332907368817665,0.16375321793196396,0.9664179736704338,1248934.3864530944,0.008090314182777964,0.0627450942993164,0.12054255916651466,0.0,1.0,0.0,7.172658920288086,-1.0,fixed_topk,16,64,0.6069862842559814
21,0.022445137578910927,0.019342905124942734,3.1563164893723537,0.9573470071310134,0.16171436371609293,1293605.3615070742,0.5942955212643136,0.8876756030743518,2802.3469345346416,260373.24934383202,0.8226167113240725,0.1246247850360396,13.651537165811204,32.196880057157486,8.070787566626795,36.0,0.8753528883920694,0.9447289781011211,0.015383281414409283,0.017782041295098503,0.413216863423977,0.3544283418322173,0.011904762126505375,0.5350940712278998,0.7750055839918586,0.7518629513014136,4.724409448818897,0.1621575238197807,0.059534372184963366,0.69328674963453,57.28907471504111,0.16171436371609293,0.9573470071310134,1293605.3615070742,0.008089609852969998,0.0627450942993164,0.12072383573283674,0.0,1.0,0.0,3.586456775665283,-1.0,fixed_topk,16,64,0.6069862842559814
22,0.022337626921272107,0.019258722598759794,3.144026893017486,0.9577769759133106,0.162951290969226,1286121.3034930245,0.5955909391961285,0.8871694097681617,2804.3273046164804,260204.6692913386,0.8223532307648606,0.125056431891743,13.663445638685493,32.216247528259885,8.026505042626827,36.0,0.8749245164218286,0.945666945691363,0.015287731593264527,0.017651152010399632,0.41276882414820937,0.35475680249647834,0.011904762126505375,0.534539931127641,0.7740297648428188,0.7507200037241802,4.746719160104987,0.16323432076008615,0.06250820013638243,0.7072415286161768,57.094943409516745,0.162951290969226,0.9577769759133106,1286121.3034930245,0.008139928298075916,0.0627450942993164,0.12200620999251764,0.0,1.0,0.0,5.617016792297363,-1.0,fixed_topk,16,64,0.6069862842559814
23,0.02251324716349208,0.019405691391297095,3.1452216582661228,0.9721169392737191,0.1622547739603388,1279028.0506119025,0.5946358499773116,0.8866585072517815,2798.9568900628165,260546.8215223097,0.8225105470064327,0.12446664347892146,13.65156160250789,32.19541228947233,8.035016583436887,36.0,0.8755118556124738,0.9453099770760979,0.015328020153180978,0.017638658488692876,0.41573469172625405,0.35767342038745953,0.011904762126505375,0.5350145096118627,0.7765427553014203,0.754103325720624,4.671916010498688,0.16286590605426648,0.06317666106493142,0.7043318737523137,57.18854194300694,0.1622547739603388,0.9721169392737191,1279028.0506119025,0.008112476126650187,0.0627450942993164,0.12168860177355488,0.0,1.0,0.0,7.054549217224121,-1.0,fixed_topk,16,64,0.6069862842559814
24,0.022441113823560357,0.019301830283720584,3.1500810209534613,0.9561267736076996,0.16294610019274583,1294682.5441596594,0.5943783654211277,0.8871483139921882,2800.9226099316343,260353.99212598425,0.8224406163627812,0.12476891406391345,13.662850696025219,32.21606831032432,8.035182263965048,36.0,0.8752198677122026,0.944797199040101,0.015400687739829926,0.01778597166802089,0.41453655199037764,0.35583569799742987,0.011904762126505375,0.5349448617595912,0.7755434214877898,0.7520733329920253,4.7506561679790025,0.16311866629702526,0.06314415714441948,0.6945265845989618,57.19440413147133,0.16294610019274583,0.9561267736076996,1294682.5441596594,0.008124172208424941,0.0627450942993164,0.12185623717746084,0.0,1.0,0.0,4.589855670928955,-1.0,fixed_topk,16,64,0.6069862842559814
25,0.022456942900423733,0.019344046589700882,3.1491873267441597,0.9596021630632596,0.16393283328280986,1280889.6203486386,0.5944198057446582,0.886994865633162,2801.827830103544,260420.18372703413,0.8225737722996347,0.12448779952659673,13.676420399874331,32.23294540325114,8.036030866721335,36.0,0.8754827010228224,0.9448683988919011,0.015508688489473827,0.01796152610915378,0.4154930641566675,0.35678857977543604,0.011904762126505375,0.5339242398322621,0.7760441493738807,0.7530127775553398,4.650918635170604,0.1631319562359432,0.06318926597576285,0.6931632768137874,57.203527715888235,0.16393283328280986,0.9596021630632596,1280889.6203486386,0.008123645934782276,0.0627450942993164,0.12177705420596706,0.0,1.0,0.0,5.432102203369141,-1.0,fixed_topk,16,64,0.6069862842559814
26,0.022453286479718573,0.01932429913871401,3.1482450977710914,0.9713753707452709,0.1632236170135145,1347648.3585651985,0.59466278223958,0.8868290352670123,2805.3460032011694,260239.09973753282,0.8226152641514569,0.12499748324965004,13.652974278675808,32.1992501527496,8.005802371632743,36.0,0.8749662951853844,0.9440187017460309,0.015478782777447166,0.017905191275528864,0.4128724038796475,0.35387654444129446,0.011904762126505375,0.5349617245458406,0.7741767553767448,0.7516917258480409,4.696850393700787,0.16360590290131533,0.06353791472147613,0.6969256343178236,57.24884010174769,0.1632236170135145,0.9713753707452709,1347648.3585651985,0.008132510050383257,0.0627450942993164,0.12185297834044054,0.0,1.0,0.0,3.72438907623291,-1.0,fixed_topk,16,64,0.6069862842559814
27,0.02246329533070658,0.019374572576006527,3.1493253204140452,0.9528922257930275,0.16235371452225789,1305636.622917834,0.5944426365359665,0.8869689402930695,2799.180600757883,260147.28346456692,0.8225909587644424,0.12489993949910556,13.651883307775996,32.20020782044563,8.03368686663567,36.0,0.8751023524918351,0.9442404367610453,0.015455568232512458,0.017886040901922282,0.4131019520438875,0.35438742138582263,0.011904762126505375,0.5348748263237686,0.7758806113249361,0.7527215677320813,4.702099737532809,0.16344132999891997,0.06380858143248896,0.6969530203836797,57.172078690816726,0.16235371452225789,0.9528922257930275,1305636.622917834,0.00813780733191083,0.0627450942993164,0.12209493674709415,0.0,1.0,0.0,6.041928768157959,-1.0,fixed_topk,16,64,0.6069862842559814
28,0.02231592480142129,0.019278039059447725,3.1391695797286947,0.9690761550517846,0.16327828618641602,1255181.262479643,0.5955317785877039,0.8867349067437266,2808.1840540768276,260295.0498687664,0.8224882833131658,0.12522425154884212,13.671771032585355,32.22904066099252,8.023278829436387,36.0,0.8747607833502963,0.9448737789893775,0.015305546084247784,0.017667356608258293,0.4113973660731879,0.3533406613340841,0.011904762126505375,0.5339137696084822,0.7736964659938066,0.7507717464929466,4.6745406824146984,0.16390533714000322,0.0646399776365735,0.7064159276291454,57.08712290966604,0.16327828618641602,0.9690761550517846,1255181.262479643,0.00815615570111557,0.0627450942993164,0.12243989955760988,0.0,1.0,0.0,3.296888589859009,-1.0,fixed_topk,16,64,0.6069862842559814
29,0.022464130780222066,0.019335962492200178,3.1402094051280987,0.9718933443384846,0.16254832441099673,1284104.9684098263,0.5949118082409144,0.8863933147147154,2801.615667308099,260500.92125984252,0.8225108307386222,0.12441295057777627,13.650362175370185,32.19726239294542,8.043315065212994,36.0,0.8755774705734983,0.9445827286141466,0.01546159143537635,0.01786761003817747,0.41581880181949593,0.35705100185680266,0.011904762126505375,0.5349507974484796,0.7762409722431304,0.7526025696262495,4.71259842519685,0.163281348472818,0.06404619412667795,0.7031835337949237,57.11716018636709,0.16254832441099673,0.9718933443384846,1284104.9684098263,0.008131550514356788,0.0627450942993164,0.12212578531872882,0.0,1.0,0.0,8.981802940368652,-1.0,fixed_topk,16,64,0.6069862842559814
30,0.022338600246250395,0.01921859837450048,3.1493540226318077,0.9522677351405301,0.16259898384177465,1269812.5116337521,0.5945676771322568,0.8873024204115232,2806.792018059357,259574.3412073491,0.8224618241751499,0.12551147092984408,13.651007690431472,32.19560203623414,8.022932787466782,36.0,0.8744542778222902,0.9448798826335859,0.015476350630987974,0.017964006410356816,0.41073261580755077,0.35152382231525237,0.011904762126505375,0.5347606128750203,0.7712361167020366,0.74817965572395,4.727034120734908,0.16431118491205957,0.06460686236267954,0.7015753044231045,57.17009159398517,0.16259898384177465,0.9522677351405301,1269812.5116337521,0.008183867378487909,0.0627450942993164,0.12283307639515306,0.0,1.0,0.0,3.997417449951172,-1.0,fixed_topk,16,64,0.6069862842559814
