epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2412.8,1.07555,1.34286,1.46303,0.68664,0.5609,0.62893,0.4259,1.23116,2.27296,1.59897,0.00900844,0.00900844,0.00900844
43,2470.17,1.07467,1.33652,1.46015,0.67948,0.57094,0.62962,0.42806,1.22524,2.24595,1.59414,0.00896127,0.00896127,0.00896127
44,2528.35,1.06391,1.31888,1.45519,0.69658,0.55657,0.63303,0.42881,1.2271,2.23172,1.5986,0.00891313,0.00891313,0.00891313
45,2587.23,1.06984,1.3264,1.45639,0.68163,0.56783,0.63718,0.4308,1.22741,2.22464,1.59418,0.00886404,0.00886404,0.00886404
46,2644.61,1.06262,1.32182,1.45436,0.69138,0.56136,0.63997,0.43437,1.22197,2.21917,1.59099,0.00881401,0.00881401,0.00881401
47,2703.56,1.05322,1.30198,1.44196,0.70665,0.56044,0.64191,0.43645,1.21901,2.20472,1.58693,0.00876305,0.00876305,0.00876305
48,2761.69,1.06084,1.30114,1.4443,0.71084,0.56193,0.64413,0.43914,1.21517,2.18986,1.58306,0.00871117,0.00871117,0.00871117
49,2819.34,1.05542,1.29768,1.4431,0.73559,0.54684,0.64816,0.44259,1.21496,2.19095,1.58372,0.00865839,0.00865839,0.00865839
50,2877.29,1.04879,1.27967,1.4351,0.70539,0.56906,0.6492,0.44321,1.21128,2.18628,1.57999,0.00860473,0.00860473,0.00860473
51,2938.29,1.05053,1.28009,1.43464,0.71744,0.56009,0.65352,0.44594,1.20611,2.1831,1.5717,0.00855018,0.00855018,0.00855018
52,2993.73,1.04219,1.27803,1.42939,0.72142,0.56032,0.65503,0.4478,1.20174,2.17189,1.56789,0.00849477,0.00849477,0.00849477
53,3050.53,1.04706,1.27119,1.43094,0.74023,0.55401,0.65891,0.45116,1.20008,2.15658,1.56447,0.00843851,0.00843851,0.00843851
54,3109.34,1.044,1.26419,1.42659,0.71472,0.56911,0.66042,0.45164,1.19657,2.16149,1.56215,0.00838141,0.00838141,0.00838141
55,3167,1.0398,1.25799,1.4253,0.70588,0.58056,0.66244,0.45298,1.19464,2.15495,1.55939,0.00832349,0.00832349,0.00832349
56,3225.38,1.03297,1.25165,1.4219,0.73766,0.56883,0.66367,0.45543,1.19206,2.15373,1.55611,0.00826477,0.00826477,0.00826477
57,3281.14,1.033,1.24775,1.42234,0.71535,0.58436,0.66544,0.45745,1.19092,2.14774,1.55476,0.00820525,0.00820525,0.00820525
58,3340.14,1.02869,1.22942,1.4155,0.71873,0.58497,0.66702,0.45849,1.18824,2.14439,1.55311,0.00814495,0.00814495,0.00814495
