name	shape	numel	requires_grad	role
model.12.m.0.cv1.bn.weight	(64,)	64	True	backbone_or_neck
model.12.m.0.cv1.bn.bias	(64,)	64	True	backbone_or_neck
model.12.m.0.cv2.conv.weight	(64, 64, 3, 3)	36864	True	backbone_or_neck
model.12.m.0.cv2.bn.weight	(64,)	64	True	backbone_or_neck
model.12.m.0.cv2.bn.bias	(64,)	64	True	backbone_or_neck
model.15.cv1.conv.weight	(64, 192, 1, 1)	12288	True	backbone_or_neck
model.15.cv1.bn.weight	(64,)	64	True	backbone_or_neck
model.15.cv1.bn.bias	(64,)	64	True	backbone_or_neck
model.15.cv2.conv.weight	(64, 96, 1, 1)	6144	True	backbone_or_neck
model.15.cv2.bn.weight	(64,)	64	True	backbone_or_neck
model.15.cv2.bn.bias	(64,)	64	True	backbone_or_neck
model.15.m.0.cv1.conv.weight	(32, 32, 3, 3)	9216	True	backbone_or_neck
model.15.m.0.cv1.bn.weight	(32,)	32	True	backbone_or_neck
model.15.m.0.cv1.bn.bias	(32,)	32	True	backbone_or_neck
model.15.m.0.cv2.conv.weight	(32, 32, 3, 3)	9216	True	backbone_or_neck
model.15.m.0.cv2.bn.weight	(32,)	32	True	backbone_or_neck
model.15.m.0.cv2.bn.bias	(32,)	32	True	backbone_or_neck
model.16.conv.weight	(64, 64, 3, 3)	36864	True	backbone_or_neck
model.16.bn.weight	(64,)	64	True	backbone_or_neck
model.16.bn.bias	(64,)	64	True	backbone_or_neck
model.18.cv1.conv.weight	(128, 192, 1, 1)	24576	True	backbone_or_neck
model.18.cv1.bn.weight	(128,)	128	True	backbone_or_neck
model.18.cv1.bn.bias	(128,)	128	True	backbone_or_neck
model.18.cv2.conv.weight	(128, 192, 1, 1)	24576	True	backbone_or_neck
model.18.cv2.bn.weight	(128,)	128	True	backbone_or_neck
model.18.cv2.bn.bias	(128,)	128	True	backbone_or_neck
model.18.m.0.cv1.conv.weight	(64, 64, 3, 3)	36864	True	backbone_or_neck
model.18.m.0.cv1.bn.weight	(64,)	64	True	backbone_or_neck
model.18.m.0.cv1.bn.bias	(64,)	64	True	backbone_or_neck
model.18.m.0.cv2.conv.weight	(64, 64, 3, 3)	36864	True	backbone_or_neck
model.18.m.0.cv2.bn.weight	(64,)	64	True	backbone_or_neck
model.18.m.0.cv2.bn.bias	(64,)	64	True	backbone_or_neck
model.19.conv.weight	(128, 128, 3, 3)	147456	True	backbone_or_neck
model.19.bn.weight	(128,)	128	True	backbone_or_neck
model.19.bn.bias	(128,)	128	True	backbone_or_neck
model.21.cv1.conv.weight	(256, 384, 1, 1)	98304	True	backbone_or_neck
model.21.cv1.bn.weight	(256,)	256	True	backbone_or_neck
model.21.cv1.bn.bias	(256,)	256	True	backbone_or_neck
model.21.cv2.conv.weight	(256, 384, 1, 1)	98304	True	backbone_or_neck
model.21.cv2.bn.weight	(256,)	256	True	backbone_or_neck
model.21.cv2.bn.bias	(256,)	256	True	backbone_or_neck
model.21.m.0.cv1.conv.weight	(128, 128, 3, 3)	147456	True	backbone_or_neck
model.21.m.0.cv1.bn.weight	(128,)	128	True	backbone_or_neck
model.21.m.0.cv1.bn.bias	(128,)	128	True	backbone_or_neck
model.21.m.0.cv2.conv.weight	(128, 128, 3, 3)	147456	True	backbone_or_neck
model.21.m.0.cv2.bn.weight	(128,)	128	True	backbone_or_neck
model.21.m.0.cv2.bn.bias	(128,)	128	True	backbone_or_neck
model.22.cv2.0.0.conv.weight	(64, 64, 3, 3)	36864	True	box_dfl_distribution_branch
model.22.cv2.0.0.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.0.0.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.0.1.conv.weight	(64, 64, 3, 3)	36864	True	box_dfl_distribution_branch
model.22.cv2.0.1.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.0.1.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.0.2.weight	(64, 64, 1, 1)	4096	True	box_dfl_distribution_branch
model.22.cv2.0.2.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.1.0.conv.weight	(64, 128, 3, 3)	73728	True	box_dfl_distribution_branch
model.22.cv2.1.0.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.1.0.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.1.1.conv.weight	(64, 64, 3, 3)	36864	True	box_dfl_distribution_branch
model.22.cv2.1.1.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.1.1.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.1.2.weight	(64, 64, 1, 1)	4096	True	box_dfl_distribution_branch
model.22.cv2.1.2.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.2.0.conv.weight	(64, 256, 3, 3)	147456	True	box_dfl_distribution_branch
model.22.cv2.2.0.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.2.0.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.2.1.conv.weight	(64, 64, 3, 3)	36864	True	box_dfl_distribution_branch
model.22.cv2.2.1.bn.weight	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.2.1.bn.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv2.2.2.weight	(64, 64, 1, 1)	4096	True	box_dfl_distribution_branch
model.22.cv2.2.2.bias	(64,)	64	True	box_dfl_distribution_branch
model.22.cv3.0.0.conv.weight	(64, 64, 3, 3)	36864	True	classification_branch
model.22.cv3.0.0.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.0.0.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.0.1.conv.weight	(64, 64, 3, 3)	36864	True	classification_branch
model.22.cv3.0.1.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.0.1.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.0.2.weight	(20, 64, 1, 1)	1280	True	classification_branch
model.22.cv3.0.2.bias	(20,)	20	True	classification_branch
model.22.cv3.1.0.conv.weight	(64, 128, 3, 3)	73728	True	classification_branch
model.22.cv3.1.0.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.1.0.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.1.1.conv.weight	(64, 64, 3, 3)	36864	True	classification_branch
model.22.cv3.1.1.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.1.1.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.1.2.weight	(20, 64, 1, 1)	1280	True	classification_branch
model.22.cv3.1.2.bias	(20,)	20	True	classification_branch
model.22.cv3.2.0.conv.weight	(64, 256, 3, 3)	147456	True	classification_branch
model.22.cv3.2.0.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.2.0.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.2.1.conv.weight	(64, 64, 3, 3)	36864	True	classification_branch
model.22.cv3.2.1.bn.weight	(64,)	64	True	classification_branch
model.22.cv3.2.1.bn.bias	(64,)	64	True	classification_branch
model.22.cv3.2.2.weight	(20, 64, 1, 1)	1280	True	classification_branch
model.22.cv3.2.2.bias	(20,)	20	True	classification_branch
model.22.dfl.conv.weight	(1, 16, 1, 1)	16	True	dfl_integral_module
