epoch,align_clean_topk,align_adv_topk,target_prob_clean_mean,target_prob_adv_mean,overlap_clean_mean,overlap_adv_mean,shape_loss,preserve_loss,cls_aux_loss,gate_positive_ratio,perturbed_area_ratio_mean,L_induce,L_tv,L_budget,L_total,mean_abs_delta,max_abs_delta,saturation_ratio,grad_norm_fourier,grad_norm_suppress
1,0.034655642193493416,0.03465124440052746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-4.397792965953886e-06,0.0,0.0,0.0,0.0003277562525204422,0.04678929224610329,0.0,0.08671727776527405,0.01482030376791954
2,0.0346958470818494,0.03241017470087525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0022856723809741553,0.0,0.16064293210575092,0.0,0.003753979219835622,0.0627450942993164,0.008910711504475841,0.046546608209609985,0.00899052806198597
3,0.03387417907568173,0.03016083774824885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0037133413274328744,0.0,0.2905676296244117,0.0,0.005710174613607882,0.0627450942993164,0.03135268763682917,0.09685420244932175,0.02013111487030983
4,0.033874578769099335,0.029947835093861477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.003926743675237863,0.0,0.318145286194317,0.0,0.006109010160008338,0.0627450942993164,0.03882181833629833,0.011699647642672062,0.008496369235217571
5,0.03367270123584108,0.029462062129604567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004210639106236516,0.0,0.3136840428357349,0.0,0.006330992375544384,0.0627450942993164,0.0391495423050139,0.04824446514248848,0.01075325720012188
6,0.03451067149756155,0.03019139460283112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004319276894730423,0.0,0.2639394578821372,0.0,0.006494127250525184,0.0627450942993164,0.030897216890884944,0.024363957345485687,0.02351360395550728
7,0.034569732220697154,0.03010803141206971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0044617008086274435,0.0,0.21426452173612504,0.0,0.00660520739833878,0.0627450942993164,0.025203206488638337,0.013855488039553165,0.017018437385559082
8,0.034490118261563216,0.029688173700221546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.00480194456134167,0.0,0.20534468836185196,0.0,0.0066849191365909826,0.0627450942993164,0.02625614924463614,0.04840654879808426,0.022410836070775986
9,0.033481552216824126,0.029057792563439974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004423759653384149,0.0,0.2081870346169197,0.0,0.006730842116381485,0.0627450942993164,0.027546298324437665,0.018583420664072037,0.019489727914333344
10,0.033809875021079135,0.02915896239315028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004650912627928857,0.0,0.21019373202199088,0.0,0.0067597260230576805,0.0627450942993164,0.028546388597466558,0.01280438993126154,0.012460146099328995
