epoch,align_clean_topk,align_adv_topk,target_prob_clean_mean,target_prob_adv_mean,overlap_clean_mean,overlap_adv_mean,shape_loss,preserve_loss,cls_aux_loss,gate_positive_ratio,perturbed_area_ratio_mean,L_induce,L_tv,L_budget,L_total,mean_abs_delta,max_abs_delta,saturation_ratio,grad_norm_fourier,grad_norm_suppress
11,0.033958638194187776,0.0293530799565515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004605558237636276,0.0,0.21244022359398648,0.0,0.006783765623667789,0.0627450942993164,0.029347534111032934,0.015066087245941162,0.011145739816129208
12,0.03379850996492421,0.02932322419770257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004475285767221638,0.0,0.21335653999713078,0.0,0.006810842406160701,0.0627450942993164,0.03000405187967248,0.008695111609995365,0.014802105724811554
13,0.034017953914419516,0.02943839333190812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0045795605825114,0.0,0.2144926964300465,0.0,0.006815464738073773,0.0627450942993164,0.030537070872271872,0.0075473785400390625,0.008961604908108711
14,0.03386942332815281,0.02930322922376126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004566194104391555,0.0,0.21512395783244628,0.0,0.0068274904140003066,0.0627450942993164,0.030958396904365554,0.004202669486403465,0.007495875936001539
15,0.03333259758134787,0.028570313299201545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004762284282146324,0.0,0.21579067135980617,0.0,0.006843589263339161,0.0627450942993164,0.03132165509095679,0.015693623572587967,0.019724883139133453
16,0.03383417182275294,0.02951265144020475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.00432152038254819,0.0,0.2161375150006479,0.0,0.006850994011650535,0.0627450942993164,0.03157875429429309,0.015835057944059372,0.0220116525888443
17,0.03395653419508672,0.029262208686995257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004694325508091462,0.0,0.21657981938092496,0.0,0.006858794918254564,0.0627450942993164,0.03184336694006208,0.016653945669531822,0.02448452077805996
18,0.0335984827550762,0.02892552261577227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0046729601393039315,0.0,0.2169656238630804,0.0,0.006858795939783775,0.0627450942993164,0.03203570632098233,0.006542971357703209,0.005891468841582537
19,0.03319200784631113,0.02864471695224964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004547290894061483,0.0,0.2175849871173579,0.0,0.006857713174894062,0.0627450942993164,0.03218602304254215,0.010880127549171448,0.010770559310913086
20,0.033739888206787444,0.02904403139958987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004695856807197576,0.0,0.21821101454540073,0.0,0.006868445455871951,0.0627450942993164,0.03235192916780242,0.00815411377698183,0.0325329527258873
21,0.034562498384706326,0.029953085500454404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004609412884251922,0.0,0.21793253446748745,0.0,0.006865334840910753,0.0627450942993164,0.03246963170420437,0.017860734835267067,0.009418952278792858
22,0.03363409019148474,0.02914980618058855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004484284010896196,0.0,0.21872158730841432,0.0,0.006872343613780762,0.0627450942993164,0.03258585120448891,0.011872302740812302,0.008371840231120586
23,0.03391016282492283,0.029318670005932527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004591492818990303,0.0,0.21813910840693568,0.0,0.006871463711427144,0.0627450942993164,0.032637174684963924,0.010192827321588993,0.0086247269064188
24,0.034062311072780196,0.029228744516392964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004833566556387235,0.0,0.21873630107385325,0.0,0.006880966751441281,0.0627450942993164,0.03271899733165796,0.02154409885406494,0.0222841314971447
25,0.0337380012936149,0.02898581599553374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004752185298081156,0.0,0.218585621936159,0.0,0.006876111613264727,0.0627450942993164,0.0327476380948777,0.007896997034549713,0.01692759431898594
26,0.03404851704445809,0.02903916964707262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.005009347397385467,0.0,0.21854118214851898,0.0,0.006877939382577754,0.0627450942993164,0.03276852111658813,0.002331305993720889,0.010071483440697193
27,0.034124411379245566,0.029870578570593713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004253832808651849,0.0,0.2186837141738512,0.0,0.006873134496811953,0.0627450942993164,0.03276582206575034,0.012944976799190044,0.0075613027438521385
28,0.03385844368838671,0.02913701508428258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004721428604104132,0.0,0.2184362567532125,0.0,0.006875119242739147,0.0627450942993164,0.03278061210211971,0.007527617271989584,0.010312498547136784
29,0.03390771961961117,0.02930190918859855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.004605810431012621,0.0,0.21839232937827785,0.0,0.006881195547166451,0.0627450942993164,0.03282522494997341,0.01365773007273674,0.012395326048135757
30,0.03321221930155267,0.02876605729314045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762126505375,0.0,-0.0044461620084122215,0.0,0.21848546007540837,0.0,0.006875263119886839,0.0627450942993164,0.03278818722638784,0.005974314641207457,0.006520128808915615
